raw_words,sentiment,aspect,opinion,subjectivity
- toffee brownie with amy 's mexican vanilla ice-cream : this completed our meal very nicely .,POS,toffee brownie with amy 's mexican vanilla ice-cream,very nicely,0
... . when he kindly smiled and slid my drinks over to me I thought for sure someone was going to tell me I was on candid camera reality show .,NEG,,,0
0 complaints- will absolutely be back !,POS,,,0
"10 % off from Yelp check in was very welcome.There was a mistake in our order , which the staff felt very badly about so they did not charge us for that plate .",POS,,very welcome.There,0
"10 % off from Yelp check in was very welcome.There was a mistake in our order , which the staff felt very badly about so they did not charge us for that plate .",POS,staff,,0
10 dollar watered downed drinks with mandatory tipping .,NEG,,mandatory,0
"10 more minutes to actually get the bill , and another 10 minutes before I was brought the bill to sign .",NEG,,,0
11 of us ordered probably about 30 dishes and shared family style.Every one of them was horrible and many of them tasted like bleach or some other fowl chemical .,NEG,dishes,"horrible, NULL",0
13 years in Pac NW ... and I FINALLY find a delicious and fresh burrito ! !,POS,burrito,"fresh, delicious",0
2 hours later ( believe me I regret it and will never do it again ) we finally got it .,NEG,,regret,0
"2 settings for eating : normal and traditional.Cool , but only for the best occasions as it ended up a bit on the pricey side ( 5 star cause the value was still great )",NEG,,a bit on the pricey,0
"2 settings for eating : normal and traditional.Cool , but only for the best occasions as it ended up a bit on the pricey side ( 5 star cause the value was still great )",POS,,great,0
"2 settings for eating : normal and traditional.Cool , but only for the best occasions as it ended up a bit on the pricey side ( 5 star cause the value was still great )",POS,eating,"normal, traditional.Cool",0
2 things I cant live without .,POS,,,0
2 thumbs up !,POS,,,0
24 minutes from being seated to have water brought out .,NEG,,,0
25 minute wait but hardly anyone here .,NEG,,,0
2nd disappointment .,NEG,,disappointment,0
2nd time at this location and never again ... service was terrible both times .,NEG,service,terrible,0
"3 ) The service was great , but slooow .",NEG,service,slooow,0
"3 ) The service was great , but slooow .",POS,service,great,0
3 ) Weekday lunch specials for like 6 bucks ... are you serious ?,POS,lunch,,0
"30 minutes later , we were still waiting .",NEG,,,0
4 dollars for this worthless excuse for a pizza .,NEG,pizza,worthless,0
4.5 stars out of 5 for sure ... I almost selected 5 stars .,POS,,,0
5 delicious waffle sized stars .,POS,waffle,delicious,0
"5 minutes later , his soup arrived , but OUR APPETIZERS WERE STILL NOT THERE .",NEG,,,0
5 o'clock somewhere was also a wonderful drink and I 'm not usually a fan of grapefruit .,NEG,grapefruit,fan,0
5 o'clock somewhere was also a wonderful drink and I 'm not usually a fan of grapefruit .,POS,drink,wonderful,0
5 star all the way,POS,,,0
52 minutes to have the first of our food brought out .,NEG,,,0
55 Salad ca n't be beat .,POS,55 Salad,beat,0
888 is super delicious and has everything you could want !,POS,888,"super delicious, NULL",0
": ) Also every cashier is willling to help us , and they are always smile and friendly : )",POS,cashier,willling,0
": ) Also every cashier is willling to help us , and they are always smile and friendly : )",POS,they,"friendly, always smile",0
: ) and it was fabulous .,POS,,fabulous,0
"; ) Our waitress was friendly , prompt and on her game .",POS,waitress,"NULL, friendly, prompt",0
"=/ 2 ) Because I had anticipated this place to be high-end , fine dining ..",POS,dining,"fine, high-end",0
"A + for food , service and hospitality , and I could not recommend this place any more .",POS,food,,0
"A + for food , service and hospitality , and I could not recommend this place any more .",POS,hospitality,,0
"A + for food , service and hospitality , and I could not recommend this place any more .",POS,place,recommend,0
"A + for food , service and hospitality , and I could not recommend this place any more .",POS,service,,0
A bit pricey for pizza but I thought it was worth it .,NEG,pizza,A bit pricey,0
A bit pricey for pizza but I thought it was worth it .,POS,pizza,worth,0
"A couple beside us showed us their burger , which was `` raw '' in the middle .",NEG,burger,raw,0
"A couple in our party ordered the chicken Marsala , which they said you could taste the wine & it was not good .",NEG,chicken Marsala,not good,0
A couple of memorables are : - Rabbit Food - The kale salad have a nice zing from the lemon/anchovy dressing .,POS,,memorables,0
A couple of memorables are : - Rabbit Food - The kale salad have a nice zing from the lemon/anchovy dressing .,POS,Rabbit Food,memorables,0
A couple of memorables are : - Rabbit Food - The kale salad have a nice zing from the lemon/anchovy dressing .,POS,kale salad,nice zing,0
A fast food chicken sandwich / burger place that 's quick and tasty .,POS,A fast food chicken sandwich,"quick, tasty",0
A fast food chicken sandwich / burger place that 's quick and tasty .,POS,burger,"quick, tasty",0
A favorite aspect is the short pours of wine available so you dont have to commit to a whole glass and can taste several as you eat different dishes .,POS,aspect,favorite,0
A fenway must try !,POS,,try,0
A few bucks at bestCheap drinks ! ! !,POS,drinks,bestCheap,0
"A few burgers , a plate of poutine , and some salads were whisked past my face at different times and they smelled ( except for the salad , salads do n't smell ) like some top-notch pub grub .",POS,burgers,top-notch,0
"A few burgers , a plate of poutine , and some salads were whisked past my face at different times and they smelled ( except for the salad , salads do n't smell ) like some top-notch pub grub .",POS,poutine,top-notch,0
"A friend recommended this modern coffee shop so I went and checked out when I was in the neighbourhood.The espresso is quite good , they offer a nice selection of tea for non-coffee drinkers out there and the decor and atmosphere are comfortable and welcoming.I would definitely recommend this place to anyone looking for a new coffee spot .",POS,atmosphere,"comfortable, welcoming.I",0
"A friend recommended this modern coffee shop so I went and checked out when I was in the neighbourhood.The espresso is quite good , they offer a nice selection of tea for non-coffee drinkers out there and the decor and atmosphere are comfortable and welcoming.I would definitely recommend this place to anyone looking for a new coffee spot .",POS,decor,"welcoming.I, comfortable",0
"A friend recommended this modern coffee shop so I went and checked out when I was in the neighbourhood.The espresso is quite good , they offer a nice selection of tea for non-coffee drinkers out there and the decor and atmosphere are comfortable and welcoming.I would definitely recommend this place to anyone looking for a new coffee spot .",POS,espresso,quite good,0
"A friend recommended this modern coffee shop so I went and checked out when I was in the neighbourhood.The espresso is quite good , they offer a nice selection of tea for non-coffee drinkers out there and the decor and atmosphere are comfortable and welcoming.I would definitely recommend this place to anyone looking for a new coffee spot .",POS,modern coffee shop,,0
"A friend recommended this modern coffee shop so I went and checked out when I was in the neighbourhood.The espresso is quite good , they offer a nice selection of tea for non-coffee drinkers out there and the decor and atmosphere are comfortable and welcoming.I would definitely recommend this place to anyone looking for a new coffee spot .",POS,place,definitely recommend,0
"A friend recommended this modern coffee shop so I went and checked out when I was in the neighbourhood.The espresso is quite good , they offer a nice selection of tea for non-coffee drinkers out there and the decor and atmosphere are comfortable and welcoming.I would definitely recommend this place to anyone looking for a new coffee spot .",POS,tea,nice,0
"A girlfriend and I came here on a Thursday night , and didn't have to wait at all for a table , despite a bustling First Thursday '' night .",POS,,,0
A good place to try something new !,POS,place,good,0
A great restaurant with great staff !,POS,restaurant,great,0
A great restaurant with great staff !,POS,staff,great,0
A little different then what I am used too in Texas but good .,POS,,good,0
"A little disappointed with the noodles , not as chewy as I would have liked , but that was very minor .",NEG,noodles,"A little disappointed, not as chewy as",0
A little expensive but worth it .,NEG,,A little expensive,0
A little expensive but worth it .,POS,,worth,0
A little pricey but I think its worth it .,NEG,,A little pricey,0
A little pricey but I think its worth it .,POS,,worth,0
A little pricey but very good for once in a while .,NEG,,A little pricey,0
A little pricey but very good for once in a while .,POS,,very good,0
A little salty and perfect for savory loving people .,POS,,perfect,0
A lot like Veg House in China town but with a more polished atmosphere .,POS,atmosphere,more polished,0
"A lot of other places have a really heavy , salty flavour - but this place is very light and has the perfect blend of spices and herbs .",POS,,very light,0
"A lot of other places have a really heavy , salty flavour - but this place is very light and has the perfect blend of spices and herbs .",POS,herbs,perfect,0
"A lot of other places have a really heavy , salty flavour - but this place is very light and has the perfect blend of spices and herbs .",POS,spices,perfect,0
"A lot of the dishes are greasy for my taste , but I 'm picky that way .",POS,dishes,greasy,0
A manager even came around to make sure everything was ok. We will be going back regularly .,POS,,,0
A manager even came around to make sure everything was ok. We will be going back regularly .,POS,manager,,0
A must try if in the area !,POS,,,0
"A nice lady was our waitress , I wish I could remember her name , but I couldn't talk but she was patient with me when I was asking for honey with my tea .",POS,waitress,patient,0
"A nice touch is that in the winter when you come they will give you this hot barley water , which tastes really good on a cold night , and actually works really well to clear my sinuses for some reason .",POS,,nice,0
"A nice touch is that in the winter when you come they will give you this hot barley water , which tastes really good on a cold night , and actually works really well to clear my sinuses for some reason .",POS,hot barley water,"really well, really good",0
"A perfect end to a perfect meal.Yes the place can be tough to get into , so plan ahead .",NEG,place,tough,0
"A perfect end to a perfect meal.Yes the place can be tough to get into , so plan ahead .",POS,,perfect,0
"A perfect end to a perfect meal.Yes the place can be tough to get into , so plan ahead .",POS,meal.Yes,perfect,0
"A really good interpretation on authentic Spanish food , awesome breakfast tapas , bloodymarys .",POS,Spanish food,"authentic, really good",0
"A really good interpretation on authentic Spanish food , awesome breakfast tapas , bloodymarys .",POS,bloodymarys,really good,0
"A really good interpretation on authentic Spanish food , awesome breakfast tapas , bloodymarys .",POS,breakfast tapas,"really good, awesome",0
A really nice hole in the wall restaurant .,POS,wall restaurant,really nice,0
A select few of the dosas are very good but the quality is very inconsistent .,NEG,quality,very inconsistent,0
A select few of the dosas are very good but the quality is very inconsistent .,POS,dosas,very good,0
A shaved ice place that doesnt try to serve anything else so the decor is pretty minimal .,POS,decor,pretty minimal,0
A small restaurant and I was really excited to try this restaurant after all the Joe .,POS,restaurant,really excited,0
"A stage for band performances and/ or karaoke , an outside patio area with picnic tables throughout , and a menu that is full of some of the most creative drinks I 've seen .",POS,drinks,most creative,0
A surprising find and a place we will definitely revisit .,POS,place,"surprising, NULL",0
"A true accident , the server was cleaning the table next to us and dropped a container of ranch and it splashed all over my guest .",NEG,server,,0
"A true pleasure is watching the Korean TV , which constantly runs in the background , and always makes me wonder if they could just turn the TV off , and the image from the show would just be burned into the screen and they would n't need to use the electricity any more.Also excellent are the appetizers , which for being such a cheap restaurant are actually pretty good , and you get a nice selection .",POS,Korean TV,true pleasure,0
"A true pleasure is watching the Korean TV , which constantly runs in the background , and always makes me wonder if they could just turn the TV off , and the image from the show would just be burned into the screen and they would n't need to use the electricity any more.Also excellent are the appetizers , which for being such a cheap restaurant are actually pretty good , and you get a nice selection .",POS,appetizers,excellent,0
"A true pleasure is watching the Korean TV , which constantly runs in the background , and always makes me wonder if they could just turn the TV off , and the image from the show would just be burned into the screen and they would n't need to use the electricity any more.Also excellent are the appetizers , which for being such a cheap restaurant are actually pretty good , and you get a nice selection .",POS,restaurant,"pretty good, cheap",0
"A true pleasure is watching the Korean TV , which constantly runs in the background , and always makes me wonder if they could just turn the TV off , and the image from the show would just be burned into the screen and they would n't need to use the electricity any more.Also excellent are the appetizers , which for being such a cheap restaurant are actually pretty good , and you get a nice selection .",POS,selection,nice,0
A very nice and friendly atmosphere which we will visit again soon .,POS,atmosphere,"very nice, friendly",0
"A very quiet , chill spot , good for friendly gatherings and such.Service was very friendly and attentive .",POS,spot,"very quiet, chill, good",0
"A very quiet , chill spot , good for friendly gatherings and such.Service was very friendly and attentive .",POS,such.Service,"very friendly, attentive",0
"A waitress came and grabbed up all the glasses as we finished them , didnt offer or bring refills .",NEG,waitress,,0
A wonderful restaurant .,POS,restaurant,wonderful,0
A word of advice - skip the vermicelli noodles .,NEG,vermicelli noodles,skip,0
A+ for that .,POS,,,0
A++,POS,,,0
AKA it 's pretty much a hole in the wall .,POS,,pretty much,0
ALSO DELICIOUS .,POS,,DELICIOUS,0
AND It took us about an hour and fifteen min to get to get food - party of 7 so not huge .,NEG,,,0
Abigail needs to get some lead out of her bottom and move a little faster or get a job somewhere else .,NEG,Abigail,,0
Abigail was our server and she is way too slow .,NEG,Abigail,too slow,0
"About 15 or 16 inches in diameter , which is much better than the 11 or 12 inches you might get at a speciality Neapolitan pizza location like Famoso , and for roughly the same price .",POS,,much better,0
Absolute the best .,POS,,Absolute the best,0
"Absolutely , but just not in bad weather !",POS,,,0
"Absolutely , positively , hands down , 100 % better than Starbucks .",POS,,"Absolutely , positively , hands down , 100 % better",0
Absolutely delish .,POS,,Absolutely delish,0
Absolutely excellent food and wonderful servers .,POS,food,Absolutely excellent,0
Absolutely excellent food and wonderful servers .,POS,servers,wonderful,0
Absolutely fabulous meal at Portobello yesterday .,POS,meal,Absolutely fabulous,0
Absolutely love relax grill for happy hour or even lunch .,POS,relax grill,Absolutely love,0
"Actually , I thought about giving them four stars but the service did them in .",POS,service,,0
"Actually , moderate-sized crowds even provide problems .",NEG,,problems,0
Add the popping rocks and its pretty cool .,POS,,pretty cool,0
Add this place to your list !,POS,place,,0
"Additionally , they have a selection of desserts .",POS,desserts,,0
After hearing good things about Yau 's I was pretty disappointed with my expierence .,NEG,,disappointed,0
"After initial orders for beverages , our waitress didnt come back for over 20 mins to take our order ... .",NEG,waitress,,0
"After looking at 10+ venues , we knew the Seaport would be the right fit for us .",POS,Seaport,right fit,0
"After ordering more than half the menu , I can honestly say Emilios is totally solid .",POS,Emilios,totally solid,0
After posted the first review regarding the oyster are smaller than I expected and the molten chocolate cake is with whip cream instead of ice cream .,NEG,chocolate cake,molten,0
After posted the first review regarding the oyster are smaller than I expected and the molten chocolate cake is with whip cream instead of ice cream .,NEG,oyster,smaller,0
"After seeing the mouse at the front door , I was honestly scared of what I would see in the kitchen .",NEG,kitchen,honestly scared,0
"After sitting at the place called Brothers something for 15 minutes and not one person greeted me or acknowledged my presence , I ventured 20 seconds over ( ova ) to this excellent little establishment and was immediately greeted by an upbeat and delightful host / waitress .",NEG,place,"acknowledged, greeted",0
"After sitting at the place called Brothers something for 15 minutes and not one person greeted me or acknowledged my presence , I ventured 20 seconds over ( ova ) to this excellent little establishment and was immediately greeted by an upbeat and delightful host / waitress .",POS,host,"upbeat, immediately greeted, delightful",0
"After sitting at the place called Brothers something for 15 minutes and not one person greeted me or acknowledged my presence , I ventured 20 seconds over ( ova ) to this excellent little establishment and was immediately greeted by an upbeat and delightful host / waitress .",POS,little establishment,excellent,0
"After that had a chocolate martini , which was completely incredible !",POS,chocolate martini,completely incredible,0
After the first time I kind of lost interest .,NEG,,kind of lost interest,0
After the second bite I felt like I had smoked a cigarette .,NEG,,,0
"After they finally ask if we 'd like a table and we 're taken towards the back , a MOUSE M O U S E runs nearly across my boyfriends foot and further into the restaurant towards the front .",NEG,restaurant,,0
"After trying it ... That 's a pretty f***ing good milkshake , I don't know if its worth $ 5 , but its pretty f***ing good . ''",POS,milkshake,"pretty f***ing good, pretty f***ing good",0
"After trying several cupcake places in town ( Cami 's , Matty 's , Lenox ) Atlanta Cupcake is by far the best !",POS,Atlanta Cupcake,best,0
"After your meal , you get a cup of tea and a small piece of dessert , which is actually pretty refreshing ( and I wish I had asked what it was called !",POS,dessert,actually pretty refreshing,0
"After your meal , you get a cup of tea and a small piece of dessert , which is actually pretty refreshing ( and I wish I had asked what it was called !",POS,tea,actually pretty refreshing,0
Again a lot of toppings but with Worcestershire sauce I was expecting a flavorful burger but it was bland .,NEU,burger,bland,1
Again a lot of toppings but with Worcestershire sauce I was expecting a flavorful burger but it was bland .,POS,burger,flavorful,0
Again- no response !,NEG,,,0
Ah the things you can do with pork belly .,POS,pork belly,,0
"Albeit cool sports decor , dont expect buffalo wings and pitchers of beer , much classier .",NEG,buffalo wings,much classier,0
"Albeit cool sports decor , dont expect buffalo wings and pitchers of beer , much classier .",NEG,pitchers of beer,much classier,0
"Albeit cool sports decor , dont expect buffalo wings and pitchers of beer , much classier .",POS,sports decor,cool,0
All around this place was really good .,POS,place,really good,0
"All excellent but the piece de resistance was The ASHTON ... , Outstanding aperitif .",POS,,excellent,0
"All excellent but the piece de resistance was The ASHTON ... , Outstanding aperitif .",POS,aperitif,Outstanding,0
"All food is $ 6 , which is good , but the portions are fairly small.She came back saying that they were out of Caribou Lager from last night .",NEG,food,fairly small.She,0
"All food is $ 6 , which is good , but the portions are fairly small.She came back saying that they were out of Caribou Lager from last night .",POS,food,good,0
"All in all , a successful lunch and a wonderful break from the office !",POS,,wonderful,0
"All in all , a successful lunch and a wonderful break from the office !",POS,lunch,successful,0
"All in all , definitely a good place to check out !",POS,place,definitely a good,0
"All in all , if you are a fan of football , good service and a staff who will remember you week to week , Hudson Grille is the place to go .",POS,Hudson Grille,,0
"All in all , if you are a fan of football , good service and a staff who will remember you week to week , Hudson Grille is the place to go .",POS,service,good,0
"All in all , if you are a fan of football , good service and a staff who will remember you week to week , Hudson Grille is the place to go .",POS,staff,,0
"All in all , it was a great experience !",POS,,great,0
"All in all , the food was very good .",POS,food,very good,0
All in all good place good food worth a try and a visit .,POS,food,"worth, good",0
All in all good place good food worth a try and a visit .,POS,place,"worth, good",0
"All of them are overpriced , but cater to at least some tastes you may have .",NEG,,overpriced,0
"All of them are overpriced , but cater to at least some tastes you may have .",POS,,,0
"All of them were delicious , but if I had to make a single recommendation , it 'd be the juju ... so much flavor on one plate , and relatively healthy , to boot .",POS,,delicious,0
"All of them were delicious , but if I had to make a single recommendation , it 'd be the juju ... so much flavor on one plate , and relatively healthy , to boot .",POS,juju,"relatively healthy, so much",0
"All of these tapas were really big portions aside from the skewers , and are not tapa portions so get ready for a decent sized meal .",NEG,portions,,0
"All of these tapas were really big portions aside from the skewers , and are not tapa portions so get ready for a decent sized meal .",POS,portions,really big,0
All tasted really good .,POS,,really good,0
All the sweets were laid out orderly behind a classy window .,POS,sweets,orderly,0
All the sweets were laid out orderly behind a classy window .,POS,window,classy,0
All the waitresses are AWESOME ! !,POS,waitresses,AWESOME,0
All their cakes and pies are delicious .,POS,cakes,delicious,0
All their cakes and pies are delicious .,POS,pies,delicious,0
All those lovely reviews I had written here before were sadly gone with no reminder that I really liked it here.The cook was able to cook me up a replacement with tomato sauce but it wasn't the same .,POS,,really liked,0
All three dishes were delicious and the portions were huge !,POS,,"huge, delicious",0
All three meals disappointing .,NEG,meals,disappointing,0
All were awesome !,POS,,awesome,0
All were excellent .,POS,,excellent,0
"Almost better than the chicken itself.But at any rate , the place sits empty now , a For Lease sign in the window.Hope you 're happy , Old North .",POS,,Almost better,0
Almost forgot - prime rib on weekends is wonderful .,POS,prime rib,wonderful,0
"Also , Dylan and the chef are super nice .",POS,Dylan,super nice,0
"Also , Dylan and the chef are super nice .",POS,chef,super nice,0
"Also , I usually order chicken burger with deep fried onion strips inside burger , and it is so delicious !",POS,chicken burger with deep fried onion strips,so delicious,0
"Also , be sure to order some of the hushpuppies .",POS,hushpuppies,,0
"Also , definitely not cheap for Mexican food .",NEG,Mexican food,definitely not cheap,0
"Also , one waffle was n't enough .",NEG,waffle,was n't enough,0
"Also , parking can be a challenge , as this is a busy restaurant in a tiny strip center .",NEG,busy restaurant,,0
"Also , parking can be a challenge , as this is a busy restaurant in a tiny strip center .",NEG,parking,challenge,0
"Also , the fried green tomatoes appetizer was actually red and not crispy .",NEG,fried green tomatoes appetizer,not crispy,0
"Also , the hostess seemed to seat every Brazilian person that walked in immediately , me speaking English only seemed to make me have to wait .",NEG,hostess,,0
"Also , there was a line outside when I arrived but when I just walked inside and asked about the wait I was seated immediately .",POS,,,0
"Also , very expensive .",NEG,,very expensive,0
"Also , when I asked if the sampler was on the happy hour special , he very snottily told me , Yes .",NEG,,very snottily,0
Also - the bathroom ( mens ) wallpaper is pretty awesome .,POS,( mens ) wallpaper,pretty awesome,0
"Also had my Yelp coupon in-hand as an added incentive ... As always , the food was amazing ( Vegetarian Lettuce Wraps were a little too spicy for me , so next time I 'll order them mild , Stir-fry seafood with veggies on top of noodles ( YUM ! )",NEG,Vegetarian Lettuce Wraps,a little too spicy,0
"Also had my Yelp coupon in-hand as an added incentive ... As always , the food was amazing ( Vegetarian Lettuce Wraps were a little too spicy for me , so next time I 'll order them mild , Stir-fry seafood with veggies on top of noodles ( YUM ! )",POS,Stir-fry seafood with veggies on top of noodles,YUM,0
"Also had my Yelp coupon in-hand as an added incentive ... As always , the food was amazing ( Vegetarian Lettuce Wraps were a little too spicy for me , so next time I 'll order them mild , Stir-fry seafood with veggies on top of noodles ( YUM ! )",POS,food,amazing,0
"Also had the macaroni and cheese ( yum ) , candied yams ( double yam ) , and collard greens .",POS,cheese,yum,0
"Also had the macaroni and cheese ( yum ) , candied yams ( double yam ) , and collard greens .",POS,macaroni,yum,0
"Also if you order the Korean bean soup pot , keep in mind the kimchi in the soup brings up the heat a little.Love the d\xc3\xa9cor !",POS,,little.Love,0
Also it was very smooth .,POS,,very smooth,0
Also keep in mind that almost every vendor at PCM is expensive compared to a normal fast food joint ... paying $ 12 for a quality burger is nothing to scoff about in a high end shopping center of Atlanta .,NEG,PCM,expensive,0
Also keep in mind that almost every vendor at PCM is expensive compared to a normal fast food joint ... paying $ 12 for a quality burger is nothing to scoff about in a high end shopping center of Atlanta .,POS,burger,quality,0
"Also sampled the fresh doughnuts , banana bread and breakfast empanadas - all were well prepared and delicious .",POS,banana bread,"well, delicious",0
"Also sampled the fresh doughnuts , banana bread and breakfast empanadas - all were well prepared and delicious .",POS,breakfast empanadas,"delicious, well",0
"Also sampled the fresh doughnuts , banana bread and breakfast empanadas - all were well prepared and delicious .",POS,doughnuts,"fresh, well, delicious",0
Also serving great German brews !,POS,German brews,great,0
Also the fried zucchini with house made cheese was one of the best small plates I 've ever had !,POS,fried zucchini with house made cheese,best,0
Also the line was very long ( taking about 20 minutes ) and the building has next to no seating .,NEG,,,0
Also the service was poor .,NEG,service,poor,0
Also the waitstaff is unpleasant and had few recommendations .,NEG,waitstaff,"unpleasant, few recommendations",0
Also traffic isnt bad even though they 're close to Suntrust Park !,POS,,isnt bad,0
Also tried the waffle with a white chocolate rosewater pistachio sauce and it was amazing !,POS,waffle with a white chocolate rosewater pistachio sauce,amazing,0
Also wasabi peas are a strange replacement for wasabi .,NEG,wasabi peas,strange,0
"Although , the cracker thin crust is just all right for me .",POS,cracker thin crust,just all right,0
"Although , the wait is never more than 15 minutes .",POS,wait,,0
"Although I 'm sure they 're not the only place that does this , I greatly appreciated the convenience , especially when we got to our car and that 's when soft-serves tend to get messy .",POS,,"convenience, greatly appreciated",0
"Although our waitress was considerate and refrained from giving us our check until we asked , the clearing of the plates and repeated interruptions had the same impact as a bill not-so-subtly handed to us .",NEG,waitress,a bill not-so-subtly,0
"Although our waitress was considerate and refrained from giving us our check until we asked , the clearing of the plates and repeated interruptions had the same impact as a bill not-so-subtly handed to us .",POS,waitress,considerate,0
"Although seating is not spacious , they make the most of what there is with tables inside , as well as two counter areas .",NEG,seating,not spacious,0
"Although the salmon cakes I ordered were too spicy , my dates enchiladas were splendid , and the outdoor summer atmosphere was relaxing .",NEG,salmon cakes,too spicy,0
"Although the salmon cakes I ordered were too spicy , my dates enchiladas were splendid , and the outdoor summer atmosphere was relaxing .",POS,dates enchiladas,splendid,0
"Although the salmon cakes I ordered were too spicy , my dates enchiladas were splendid , and the outdoor summer atmosphere was relaxing .",POS,outdoor summer atmosphere,relaxing,0
Always a good place to go prior to the Boston marathon .,POS,place,good,0
Always been promptly served and taken care of .,POS,,promptly,0
Always been promptly served and taken care of .,POS,served,promptly,0
Always consistently good .,POS,,Always consistently good,0
Always great burgers n service .. I have been to this location many times..,POS,burgers,great,0
Always great burgers n service .. I have been to this location many times..,POS,service,great,0
"Always have a good time at this Chick-fil-A , they always have a great service especially when the employees come around asking if you need anything which is nice .",POS,Chick-fil-A,good,0
"Always have a good time at this Chick-fil-A , they always have a great service especially when the employees come around asking if you need anything which is nice .",POS,service,great,0
Always stop in to bring some home when in town !,POS,,,0
