raw_words,sentiment,aspect,opinion,subjectivity
"As long as I won't have any flash photos taken of me , or be under any stage lights , they will not be overwhelming.While these are about three times the cost of most pantyhose you 'd buy at the supermarket , it is certainly a good investment for a sturdy pair of good quality , USA-made tights .",POS,tights,"sturdy, good",0
"As other reviewers noted , they run narrow .",NEG,they,narrow,0
"As others have said , the material is not very giving .",NEG,material,not very giving,0
"As they are transition tights , she could pull the feet up and use them with her foot undeez , but they were too small to wear over her feet for her other dance shoes .",NEG,they,too small,0
"As warned in other reviews , I ordered a half size up and it fits perfectly .",POS,,perfectly,0
Aside from that I 'm quite happy with the product .,POS,product,quite happy,0
"At 5'11 , I didn't really need any additional height but the little heel does make it easier to stay on my toes and move my feet faster .",POS,heel,,0
At this point I would strongly recommend these as a buy .,POS,,strongly recommend,0
At this price unbeatable deal .,POS,price,,0
"Average size woman , 5 ' 7 150lbs , ordered a large and should always get XL for comfort !",NEG,,,0
Avoid.Port Authority Women 's Silk Touch Polo run w-a-y big .,NEG,Silk Touch Polo,"Avoid.Port, big",0
Awesome .,POS,,Awesome,0
Awesome find !,POS,,Awesome,0
Awesome fit great look,POS,,Awesome,0
Awesome fit great look,POS,look,great,0
Awesome for wearing for those more revealing cosplays ... At first I was scared when I got it because it was a lot darker than my actual skin tone but when I put it on it stretched out and matched it a lot better ... No one knew I was wearing tights !,NEG,tights,"scared, a lot darker",0
Awesome for wearing for those more revealing cosplays ... At first I was scared when I got it because it was a lot darker than my actual skin tone but when I put it on it stretched out and matched it a lot better ... No one knew I was wearing tights !,POS,,Awesome,0
Awesome for wearing for those more revealing cosplays ... At first I was scared when I got it because it was a lot darker than my actual skin tone but when I put it on it stretched out and matched it a lot better ... No one knew I was wearing tights !,POS,tights,a lot better,0
"Awesome tights , I will be buying more .",POS,tights,"Awesome, NULL",0
"Awesome very comfy bottom of feet , sturdy",POS,,"sturdy, Awesome, very comfy",0
BUT STYLE AND COLOR ARE GREAT .,POS,COLOR,GREAT,0
BUT STYLE AND COLOR ARE GREAT .,POS,STYLE,GREAT,0
"Barring the fact that it came in a decrepit box , something no department store would give you brand new shoes in , it fitted as expected and was comfortable .",POS,,"NULL, comfortable",0
Based on the reviews I sized up to XL and they fit .,POS,they,fit,0
"Be aware , the color is very vibrant .",NEG,color,very vibrant,0
"Beats pantyhose hands down , and they 're DURABLE .",POS,they,DURABLE,0
"Beautiful , awesome boots if you get them from a none junk shop !",POS,boots,"Beautiful, awesome",0
"Beautiful , hides flaws and dimples and leaves confident legs .",POS,,Beautiful,0
Beautiful color - got the light blue .,POS,color,Beautiful,0
Beautiful color ... ..tempted to buy another one !,POS,,,0
Beautiful color ... ..tempted to buy another one !,POS,color,Beautiful,0
Beautiful dance tights .,POS,dance tights,Beautiful,0
Beautiful shoe,POS,shoe,Beautiful,0
"Beautifully simple , and after wearing them outside a couple times , I have n't noticed any slippage .",POS,them,"NULL, Beautifully simple",0
"Because strap is not adjustable , it does not stay on my heel , a problem .",NEG,strap,not adjustable,0
Best pair of boots I have purchased so far .,POS,boots,Best,0
Best tights around .,POS,tights,Best,0
Better than hose .,POS,,Better,0
"Both are/were great , comfortable shoes .",POS,shoes,"great, comfortable",0
"Both models fit me like the description from Capezio predicted ( one like street shoe size , the other half a size up ) .",POS,models,,0
Both toes ran in the same spot the first time I wore them .,NEG,them,,0
"Bought a Hanes large , not nearly as generous , or as long , as this is .",POS,Hanes,,0
"Bought a Hanes large , not nearly as generous , or as long , as this is .",POS,,,0
Bought a couple more just to have it around ; besides these are great under pants in the winter time .,POS,,great,0
Bought a second Ash/Grey sweater because the first one fit so well and is so warm .,POS,,so well,0
Bought a second Ash/Grey sweater because the first one fit so well and is so warm .,POS,first,"so well, so warm",0
Bought this as a gift for my boyfriend and he loves it !,POS,,loves,0
"Bought this for my daughter to wear with a cosplay outfit , they looked great !",POS,they,great,0
Broke in quick .,POS,,,0
"But , once on , they are the most moldable , soft , well fitting and supportive sandals I have .",POS,sandals,"well, soft, the most moldable, supportive",0
But I do recommend these tights .,POS,tights,recommend,0
But I loved them .,POS,them,loved,0
"But I needed danceable shoes that go with a dress , and these are good for that .",POS,,good,0
But I wear it as pj 's and at night !,POS,,,0
But I will totes wear them every time there is opportunity for dancing ... .. i.e .,POS,them,,0
But I would recommend them .,POS,them,recommend,0
But after you wear them around for couple hours they do seem to fit better .,POS,they,better,0
"But any formal event , it would be a must !",POS,,,0
But do run a bit small and narrow .,NEG,,"narrow, a bit small",0
"But however , these are by far the most comfortable shoes I 've ever worn in my life .",POS,shoes,most comfortable,0
But it 's still such a bargain that I did not return it .,POS,,bargain,0
But let it be known that you still need to buy taps for them .,NEG,them,,0
But overall I 'm glad I purchased them .,POS,them,glad,0
"But the thickness and quality is very good so if you 're going for either the Hooters looks or dance recital and need to have good coverage , these will work great .",POS,,"great, good",0
"But the thickness and quality is very good so if you 're going for either the Hooters looks or dance recital and need to have good coverage , these will work great .",POS,quality,very good,0
"But the thickness and quality is very good so if you 're going for either the Hooters looks or dance recital and need to have good coverage , these will work great .",POS,thickness,very good,0
"But then when I found it on your site recently , I was thrilled , and ordered another pair .",POS,,thrilled,0
"But they are definitely eye catching with the toe and heel clips which has gotten me many compliments , so this is why I gave it three stars not one .",POS,they,definitely eye catching,0
But they are just a little tight and not quite long enough .,NEG,they,"not quite long enough, a little tight",0
"But they do hold up on they 're own pretty well once they are worn in a couple hours , that is of course if you plan to wear them 8 or more hours a day .",POS,they,pretty well,0
But they have one major flaw : the waistband is way too tight .,NEG,waistband,too tight,0
But unfortunately it was the regular hard elastic .,NEG,,unfortunately,0
But what the hell with the price increase ? ? !,NEG,price,hell,0
"But when i wore them to a one hour tango class , followed by a milonga ( dance party ) i had to take the shoes off because the heel cup rubbed the side of my ankle horribly .",NEG,heel cup,,0
But works great and very durable .,POS,,"great, very durable",0
Buy THEM !,POS,THEM,,0
Buying more right now .,POS,,,0
Came in plenty of time .,POS,,,0
Came in quickly and were as I expected them to be .,POS,them,quickly,0
Can be worn day or night .,POS,,,0
Can be worn dressy or casual .,POS,,,0
Can be worn either dressed up or dressed down .,POS,,,0
Capezio 's transition tights were definitely made for the dancer .,POS,transition tights,,0
Capezio are the best tights ever .,POS,tights,best,0
Classic and comfortable in a rich dark blue .,POS,,"Classic, comfortable",0
"Closed-toe shoes are painful for my arthritic feet , so this style is perfect if you need something a little on the dressier side with a slight heel .",POS,Closed-toe shoes,painful,0
"Closed-toe shoes are painful for my arthritic feet , so this style is perfect if you need something a little on the dressier side with a slight heel .",POS,style,perfect,0
Color is quite a bit brighter than pictured- I like the real color better than the one in the picture .,POS,Color,a bit brighter,0
Color is quite a bit brighter than pictured- I like the real color better than the one in the picture .,POS,color,like,0
Color is really beautiful .,POS,Color,really beautiful,0
Color was a bit darker than expected so I returned and got the next lighter shade .,NEG,Color,a bit darker,0
"Come on , if you can't provide wide , don't advertise as wide .",NEG,,,0
Comfortable,POS,,Comfortable,0
"Comfortable , nice hieght and affordable .",POS,,"affordable, Comfortable",0
"Comfortable , nice hieght and affordable .",POS,hieght,nice,0
"Comfortable , soft and cool .",POS,,"Comfortable, soft, cool",0
Comfortable and attractive .,POS,,"attractive, Comfortable",0
Comfortable and cute .,POS,,"cute, Comfortable",0
"Comfortable and fit well , but the inner fabric peeled up within a few weeks .",NEG,fabric,,0
"Comfortable and fit well , but the inner fabric peeled up within a few weeks .",POS,,"Comfortable, well",0
Comfortable and nice looking .,POS,,"nice, Comfortable",0
Comfortable and stylish .,POS,,"stylish, Comfortable",0
Comfortable and warm .,POS,,"Comfortable, warm",0
Comfortable but heel strap slides down .,NEG,heel strap,,0
Comfortable but heel strap slides down .,POS,,Comfortable,0
Comfortable right away !,POS,,Comfortable,0
Comfortable sandals .,POS,sandals,Comfortable,0
Comfortable shoe .,POS,shoe,Comfortable,0
Comfortable to walk and stand for hours at a time .,POS,,Comfortable,0
Comfy,POS,,Comfy,0
Comfy shoe ... bought a pair for my Mom in beige ... says they are kind to her feet,POS,shoe,Comfy,0
Comfy shoe ... bought a pair for my Mom in beige ... says they are kind to her feet,POS,they,kind,0
"Competitive price , durable item .",POS,item,durable,0
"Competitive price , durable item .",POS,price,Competitive,0
Complete waste of money .,NEG,,,0
Cosssssey ... love it .,POS,,"love, Cosssssey",0
"Could be worn with skirts , shorts or capris .",POS,,,0
Cute .,POS,,Cute,0
"Cute and Sweet , with just enough heal to be classy and sexy !",POS,,"sexy, Cute, Sweet, classy",0
Cute and very comfortable - like walking on air !,POS,,"very comfortable, Cute",0
Cute shoes but my size 8 's ran closer to size 7.5 in length .,POS,shoes,Cute,0
Dancer and she loves them .,POS,them,loves,0
Dancer was just glad to be covered and look like the other Ballerinas.We approve !,POS,,just glad,0
Danskin is always a great choice .,POS,Danskin,great,0
Daughter loves these ... very comfortable,POS,,"loves, very comfortable",0
Daughter says they fit nice .,POS,they,nice,0
Daughter thought these were comfortable .,POS,,comfortable,0
Definitely got my money 's worth !,POS,,,0
Definitely uncomfortable around the waist with the elastic .,NEG,waist with the elastic,Definitely uncomfortable,0
Definitely would not recommend for people in this size range !,NEG,,not recommend,0
Delivery was fast .,POS,Delivery,fast,0
Dependable dance tight .,POS,dance tight,Dependable,0
Description is deceptive .,NEG,Description,deceptive,0
Description says there is a cushioned innersole when in fact this particular style has NO innersole .,NEG,style,,0
Despite being wide there really was no room for my toes .,NEG,,,0
"Did n't expect the hole in the foot , but these are dance tights ...",NEG,dance tights,,0
Did not hurt their feet !,POS,,,0
Did not realize these would be so shiny so I wo n't be able to use them for their intended purpose .,NEG,them,so shiny,0
Did not work favorably for me..,POS,,favorably,0
Dilevery was quick and easy .,POS,Dilevery,"quick, easy",0
Disappointing .,NEG,,Disappointing,0
Do n't fit securely due to stretch in the back strap .,NEG,back strap,,0
Do n't waste your money ! !,NEG,,,0
Do not seem to be prone to running or tears.. great tights !,POS,tights,great,0
Downside is they are really really pink .,NEG,they,really really pink,0
Dressing in retro to ride in our '64 Impala just makes me happy .,POS,,happy,0
Dressy enough for special teas and casual enough for slacks .,POS,,"Dressy enough, casual enough",0
Durable and fit as expected .,POS,,"Durable, fit",0
Easier for me to make my turns .,POS,,,0
Easy gliding with solid construction .,POS,construction,solid,0
Easy gliding with solid construction .,POS,gliding,Easy,0
Easy to know your size .,POS,,,0
"Edited : this product was advertised as having a cushioned innersole : the seller says to return it , I have to pay shipping & handling to get a refund , because it is as advertised : it is not ( not innersole = will not fit me ) .",NEG,this product,"not innersole, not fit",0
Enough compression,NEU,,,1
Even after wearing it all day my feet are feeling great .,POS,,great,0
Even if you had calves like Schwarzenegger they would be too big .,NEG,they,too big,0
"Even so , a good choice for a reasonably priced character shoe .",POS,shoe,"reasonably, good",0
"Even when I stopped dancing , I still wear them with skirts and boots .",POS,them,,0
Even when they end up running around in them after dance class with no shoes on and they are n't supposed to they done end up torn right after .,POS,they,,0
"Even with out that , they make you feel like your dancing when your just walking around .",POS,they,,0
Everything else about these tights is amazing .,POS,tights,amazing,0
"Exactly what we expected , got well",POS,,well,0
Exactly what we needed !,POS,,,0
Excellent,POS,,Excellent,0
Excellent dance tights .,POS,dance tights,Excellent,0
Excellent fit and look so cute .,POS,,"so cute, Excellent",0
Excellent fit and size .,POS,,Excellent,0
Excellent for dancing,POS,,Excellent,0
Excellent price .,POS,price,Excellent,0
Excellent product and beautiful color,POS,color,beautiful,0
Excellent product and beautiful color,POS,product,Excellent,0
Excellent shipping and quality .,POS,quality,Excellent,0
Excellent shipping and quality .,POS,shipping,Excellent,0
Excellent shoe .,POS,shoe,Excellent,0
Excellent warm hoodie - great for winter .,POS,hoodie,"Excellent, warm, great",0
Extremely uncomfortable .,NEG,,Extremely uncomfortable,0
"Fabric was thinner than I thought it would be , it 's not see through but if I held the shirt up toward a lamp/light ( about 10 ' away ) I could see lamp light through the fabric .",NEG,Fabric,thinner,0
"Fabric was thinner than I thought it would be , it 's not see through but if I held the shirt up toward a lamp/light ( about 10 ' away ) I could see lamp light through the fabric .",NEG,fabric,,0
"Fabric was thinner than I thought it would be , it 's not see through but if I held the shirt up toward a lamp/light ( about 10 ' away ) I could see lamp light through the fabric .",NEG,shirt,,0
Fantastic !,POS,,Fantastic,0
Fast service !,POS,service,Fast,0
Fast shipment too !,POS,shipment,Fast,0
"Fast shipping , very comfortable shoes .",POS,shipping,Fast,0
"Fast shipping , very comfortable shoes .",POS,shoes,very comfortable,0
Feels nice,POS,,nice,0
"Finally , I don't get why , if they were going to make the vamp and front of the shaft out of leather , they didn't just make the back of the shaft leather too ?",NEG,,,0
First I LOVE THESE TIGHTS ! ! !,POS,TIGHTS,LOVE,0
"First impressions , I am pleased with them , but time will tell how they hold up .",POS,them,pleased,0
First time I have every actually seen such a bright pink hoodie !,POS,bright pink hoodie,,0
Fit and feel great and can take some rough handling .,POS,,great,0
Fit and take a beating so they last much longer than conventional hose .,POS,they,much longer,0
Fit exactly as expected .,POS,,Fit,0
Fit great and my daughter loves it .,POS,,"great, loves",0
"Fit just slightly small though , but still kept them .",NEG,,just slightly small,0
Fit like a glove !,POS,,Fit,0
"Fit like a glove , very comfortable , very durable material .",POS,,very comfortable,0
"Fit like a glove , very comfortable , very durable material .",POS,material,very durable,0
Fit nice .,POS,,nice,0
Fit perfect ! ! !,POS,,perfect,0
Fit perfect and a good buy for the money .,POS,,"good, perfect",0
"Fit perfectly , thanks !",POS,,"perfectly, thanks",0
Fit perfectly .,POS,,perfectly,0
Fit perfectly on my daughter who wears a 13.5-1 .,POS,,perfectly,0
Fit somewhat small .,NEG,,somewhat small,0
Fit was great and just as expected .,POS,,great,0
Fit well,POS,,well,0
"Fit well , but not for long .",NEG,,not for long,0
"Fit well , but not for long .",POS,,well,0
Fit well and look nice,POS,,"well, nice",0
"Fits as expected , works great for Ballet .",POS,,"Fits, great",0
Fits as expected and is perfect for my costume ... will purchase again from here .,POS,,perfect,0
Fits as expected and look nice,POS,,"nice, NULL",0
Fits great,POS,,great,0
Fits great and very comfortable,POS,,"great, very comfortable",0
"Fits just as described , and will definitely purchase again .",POS,,"Fits, NULL",0
Fits perfect ... .,POS,,perfect,0
"Fits perfectly , soft and very comfortable .",POS,,"perfectly, soft, very comfortable",0
Fits well .,POS,,well,0
Fits well and it has a lot of quality in its construction and has neat style .,POS,,well,0
Fits well and it has a lot of quality in its construction and has neat style .,POS,quality,,0
Fits well and it has a lot of quality in its construction and has neat style .,POS,style,neat,0
Fits wonderfully under a Drindl dress and will give just enough poof to the skirt to make it sparkle !,POS,,wonderfully,0
Fitted as I expected and snug : D too bad my time with it lasted a short while since it got hot pretty fast !,NEG,,"NULL, too bad",0
Fitted as I expected and snug : D too bad my time with it lasted a short while since it got hot pretty fast !,POS,,"Fitted, snug",0
Flamenco Shoes ... Happy for the fit and performance !,POS,,Happy,0
Flamenco Shoes ... Happy for the fit and performance !,POS,performance,Happy,0
Follow the capezio size chart and you 're in the clear .,POS,capezio size chart,clear,0
For $ 8 you simply ca n't go wrong .,POS,,,0
For a heavy durable tight that looks great go no further .,NEU,tight,heavy,1
For a heavy durable tight that looks great go no further .,POS,tight,"great, durable",0
"For ballroom dancing , I would prefer the ones with suede sole ( which were not available in my size ) .",POS,suede sole,prefer,0
"For some reason , these were strange fitting.The instructions to return are so confusing I have hesitate returning them , but I do n't want to pay for a pairof shoes I ca n't & wo n't wear .",NEG,instructions to return,so confusing,0
"For some reason , these were strange fitting.The instructions to return are so confusing I have hesitate returning them , but I do n't want to pay for a pairof shoes I ca n't & wo n't wear .",NEG,shoes,,0
For some reason this particular one runs small .,NEG,this particular one,small,0
For the price and brand I expect more .,NEG,brand,,0
For the price and brand I expect more .,NEG,price,,0
For the price it 's my go-to tight .,POS,price,,0
"For this one , half a size up worked for me , but it was on the big side.WIDTH : The shoe is quite narrow , which I liked because I have slim feet .",POS,shoe,liked,0
From the reviews I thought I should order one size up but it was too large .,NEG,,too large,0
Front toes area too narrow and heel area to large .,NEG,Front toes area,too narrow,0
Front toes area too narrow and heel area to large .,NEG,heel area,to large,0
GAVE ME A BLISTER UNDER MY BIG TOE .,NEG,,,0
GOOD LOOKING BOOT,POS,LOOKING,GOOD,0
GOOD PRICE,POS,PRICE,GOOD,0
GOT A RUN DAY ONE,POS,,,0
GREAT Boots .,POS,Boots,GREAT,0
Garbage .,NEG,,Garbage,0
"Gentlemen , buy these and you will be amazed : ) Excellent fit , looks and comfort .",POS,,Excellent,0
"Gentlemen , buy these and you will be amazed : ) Excellent fit , looks and comfort .",POS,comfort,Excellent,0
"Gentlemen , buy these and you will be amazed : ) Excellent fit , looks and comfort .",POS,looks,Excellent,0
Get a size larger than normal .,NEG,size,larger,0
"Gift was liked , said to be very comfortable",POS,,"liked, very comfortable",0
"Glad I did , these are definately keepers ! They have not scratched or faded at all , although they are pleathy rather than natural materials - which works out fine for the wet mornings and little spashes because they dry quickly and without discolorization .",NEG,they,pleathy,0
"Glad I did , these are definately keepers ! They have not scratched or faded at all , although they are pleathy rather than natural materials - which works out fine for the wet mornings and little spashes because they dry quickly and without discolorization .",POS,They,"NULL, Glad",0
"Glad I did , these are definately keepers ! They have not scratched or faded at all , although they are pleathy rather than natural materials - which works out fine for the wet mornings and little spashes because they dry quickly and without discolorization .",POS,they,,0
"Go down at least one or two sizes.These also are not at all as described - they are not silk touch pique but are a very rough cut material.Even worse , they are almost paper thin.Beware - you will end up paying the full amount to return ship anything defective or wrong description , etc ... to Nayked Apparel.The only beneficiary when you purchase this shirt is Port Authority and either UPS or USPS .",NEG,material.Even,very rough,0
"Go down at least one or two sizes.These also are not at all as described - they are not silk touch pique but are a very rough cut material.Even worse , they are almost paper thin.Beware - you will end up paying the full amount to return ship anything defective or wrong description , etc ... to Nayked Apparel.The only beneficiary when you purchase this shirt is Port Authority and either UPS or USPS .",NEG,shirt,,0
"Go down at least one or two sizes.These also are not at all as described - they are not silk touch pique but are a very rough cut material.Even worse , they are almost paper thin.Beware - you will end up paying the full amount to return ship anything defective or wrong description , etc ... to Nayked Apparel.The only beneficiary when you purchase this shirt is Port Authority and either UPS or USPS .",NEG,sizes.These,,0
"Go down at least one or two sizes.These also are not at all as described - they are not silk touch pique but are a very rough cut material.Even worse , they are almost paper thin.Beware - you will end up paying the full amount to return ship anything defective or wrong description , etc ... to Nayked Apparel.The only beneficiary when you purchase this shirt is Port Authority and either UPS or USPS .",NEG,they,"NULL, thin.Beware, worse",0
Good arch support and side support .,POS,arch support,Good,0
Good arch support and side support .,POS,side support,Good,0
"Good buy , good shoe.I would recommend to everyone .",POS,,recommend,0
"Good buy , good shoe.I would recommend to everyone .",POS,buy,Good,0
"Good buy , good shoe.I would recommend to everyone .",POS,shoe.I,good,0
Good buy .,POS,,Good,0
Good buy if you 're a college student just looking to be warm in class .,POS,buy,Good,0
Good color shimmery fit great arrived on time thanks,POS,,"shimmery, thanks, great",0
Good color shimmery fit great arrived on time thanks,POS,color,Good,0
Good comfortable fit and they look great too .,POS,fit,Good comfortable,0
Good comfortable fit and they look great too .,POS,they,great,0
Good fabric ... good fit .,POS,,good,0
Good fabric ... good fit .,POS,fabric,Good,0
Good fit .,POS,,Good,0
Good for about 3-4 hours but I have foot pain so it has to be a good shoe to last that long .,POS,shoe,"Good, good",0
Good for my ballet dancing girls who are fussy with tights .,POS,tights,"Good, fussy",0
Good investment .,POS,,Good,0
Good length and width .,POS,length,Good,0
Good length and width .,POS,width,Good,0
"Good price , good quality , very nice ! !",POS,,very nice,0
"Good price , good quality , very nice ! !",POS,price,Good,0
"Good price , good quality , very nice ! !",POS,quality,good,0
"Good quality , comfy , good support , nice color .",POS,,"good, comfy",0
"Good quality , comfy , good support , nice color .",POS,color,nice,0
"Good quality , comfy , good support , nice color .",POS,quality,Good,0
Good quality .,POS,quality,Good,0
Good quality and fit .,POS,,Good,0
Good quality and fit .,POS,quality,Good,0
Good quality and perfect fit .,POS,,perfect,0
Good quality and perfect fit .,POS,quality,Good,0
Good quality because it was a capezio .,POS,quality,Good,0
Good quality shoe .,POS,shoe,Good,0
Good shoe for the price .,POS,shoe,Good,0
Good value .,POS,,Good value,0
"Good value for the teen that needs them for dance , but tends to rip them all the time ; ) They hold up better than any other brand .",POS,They,better,0
"Good value for the teen that needs them for dance , but tends to rip them all the time ; ) They hold up better than any other brand .",POS,them,Good value,0
Good with casual or dressy .,POS,,Good,0
Gorgeous color and strong tights .,POS,color,Gorgeous,0
Gorgeous color and strong tights .,POS,tights,strong,0
Got a 7.5W in camel and it fits perfectly .,POS,,perfectly,0
"Got dirty super quick though , I have no idea how .",NEG,,,0
"Got these for my mother-in-law ( 103 years old ) and hoped that they would fit her ... she loves them and every time we see her , she is wearing them .",POS,them,"NULL, loves",0
Great Boot .,POS,Boot,Great,0
Great Value .,POS,,Great Value,0
Great as always,POS,,Great,0
Great ballet pink color .,POS,color,Great,0
"Great blouse , great color !",POS,blouse,Great,0
"Great blouse , great color !",POS,color,great,0
Great color too .,POS,color,Great,0
Great colors .,POS,colors,Great,0
Great comfort -- attractive ! !,POS,,"Great, attractive",0
Great dance shoe .,POS,shoe,Great,0
Great fit !,POS,,Great,0
"Great fit , great boot , at a great price",POS,,Great,0
"Great fit , great boot , at a great price",POS,boot,great,0
"Great fit , great boot , at a great price",POS,price,great,0
"Great fit , great look !",POS,,Great,0
