sentence,sentiment,opinion,aspect,subjectivity
"'+0.308 ! Seating : indoors is fine , but hey also have an outdoor-ish seating area , open on one side and full of great light and very airy , while still providing shelter from some of those pesky elements .",POS,full,seating,0
"'+0.308 ! Seating : indoors is fine , but hey also have an outdoor-ish seating area , open on one side and full of great light and very airy , while still providing shelter from some of those pesky elements .",POS,great,area,0
"'+0.308 ! Seating : indoors is fine , but hey also have an outdoor-ish seating area , open on one side and full of great light and very airy , while still providing shelter from some of those pesky elements .",POS,great,outdoor-ish,0
"'+0.308 ! Seating : indoors is fine , but hey also have an outdoor-ish seating area , open on one side and full of great light and very airy , while still providing shelter from some of those pesky elements .",POS,great,seating,0
"'+0.308 ! Seating : indoors is fine , but hey also have an outdoor-ish seating area , open on one side and full of great light and very airy , while still providing shelter from some of those pesky elements .",POS,light,area,0
"'+0.308 ! Seating : indoors is fine , but hey also have an outdoor-ish seating area , open on one side and full of great light and very airy , while still providing shelter from some of those pesky elements .",POS,light,outdoor-ish,0
"'+0.308 ! Seating : indoors is fine , but hey also have an outdoor-ish seating area , open on one side and full of great light and very airy , while still providing shelter from some of those pesky elements .",POS,light,seating,0
"'+0.308 ! Seating : indoors is fine , but hey also have an outdoor-ish seating area , open on one side and full of great light and very airy , while still providing shelter from some of those pesky elements .",POS,of,area,0
"'+0.308 ! Seating : indoors is fine , but hey also have an outdoor-ish seating area , open on one side and full of great light and very airy , while still providing shelter from some of those pesky elements .",POS,of,outdoor-ish,0
"'+0.308 ! Seating : indoors is fine , but hey also have an outdoor-ish seating area , open on one side and full of great light and very airy , while still providing shelter from some of those pesky elements .",POS,of,seating,0
"'+0.308 ! Seating : indoors is fine , but hey also have an outdoor-ish seating area , open on one side and full of great light and very airy , while still providing shelter from some of those pesky elements .",POS,very,area,0
"'+0.308 ! Seating : indoors is fine , but hey also have an outdoor-ish seating area , open on one side and full of great light and very airy , while still providing shelter from some of those pesky elements .",POS,very,outdoor-ish,0
"'+0.308 ! Seating : indoors is fine , but hey also have an outdoor-ish seating area , open on one side and full of great light and very airy , while still providing shelter from some of those pesky elements .",POS,very,seating,0
"'=/ 2 ) Because I had anticipated this place to be high-end , fine dining ..",POS,fine,dining,0
"'=/ 2 ) Because I had anticipated this place to be high-end , fine dining ..",POS,high-end,dining,0
0 complaints- will absolutely be back !,POS,,,1
"10 % off from Yelp check in was very welcome.There was a mistake in our order , which the staff felt very badly about so they did not charge us for that plate .",POS,,staff,1
"10 % off from Yelp check in was very welcome.There was a mistake in our order , which the staff felt very badly about so they did not charge us for that plate .",POS,very,,0
"10 % off from Yelp check in was very welcome.There was a mistake in our order , which the staff felt very badly about so they did not charge us for that plate .",POS,welcome.There,,0
10 dollar watered downed drinks with mandatory tipping .,NEG,mandatory,,0
"10 more minutes to actually get the bill , and another 10 minutes before I was brought the bill to sign .",NEG,,,1
11 of us ordered probably about 30 dishes and shared family style.Every one of them was horrible and many of them tasted like bleach or some other fowl chemical .,NEG,,dishes,1
11 of us ordered probably about 30 dishes and shared family style.Every one of them was horrible and many of them tasted like bleach or some other fowl chemical .,NEG,Horrible,dishes,0
13 years in Pac NW ... and I FINALLY find a delicious and fresh burrito ! !,POS,delicious,burrito,0
13 years in Pac NW ... and I FINALLY find a delicious and fresh burrito ! !,POS,fresh,burrito,0
2 hours later ( believe me I regret it and will never do it again ) we finally got it .,NEG,regret,,0
"2 settings for eating : normal and traditional.Cool , but only for the best occasions as it ended up a bit on the pricey side ( 5 star cause the value was still great )",NEG,a,,0
"2 settings for eating : normal and traditional.Cool , but only for the best occasions as it ended up a bit on the pricey side ( 5 star cause the value was still great )",NEG,bit,,0
"2 settings for eating : normal and traditional.Cool , but only for the best occasions as it ended up a bit on the pricey side ( 5 star cause the value was still great )",NEG,on,,0
"2 settings for eating : normal and traditional.Cool , but only for the best occasions as it ended up a bit on the pricey side ( 5 star cause the value was still great )",NEG,pricey,,0
"2 settings for eating : normal and traditional.Cool , but only for the best occasions as it ended up a bit on the pricey side ( 5 star cause the value was still great )",NEG,the,,0
"2 settings for eating : normal and traditional.Cool , but only for the best occasions as it ended up a bit on the pricey side ( 5 star cause the value was still great )",POS,great,,0
"2 settings for eating : normal and traditional.Cool , but only for the best occasions as it ended up a bit on the pricey side ( 5 star cause the value was still great )",POS,normal,eating,0
"2 settings for eating : normal and traditional.Cool , but only for the best occasions as it ended up a bit on the pricey side ( 5 star cause the value was still great )",POS,traditional.Cool,eating,0
2 things I cant live without .,POS,,,1
2 thumbs up !,POS,,,1
24 minutes from being seated to have water brought out .,NEG,,,1
25 minute wait but hardly anyone here .,NEG,,,1
2nd disappointment .,NEG,disappointment,,0
2nd time at this location and never again ... service was terrible both times .,NEG,Terrible,service,0
"3 ) The service was great , but slooow .",NEG,slooow,service,0
"3 ) The service was great , but slooow .",POS,great,service,0
3 ) Weekday lunch specials for like 6 bucks ... are you serious ?,POS,,lunch,1
"30 minutes later , we were still waiting .",NEG,,,1
4 dollars for this worthless excuse for a pizza .,NEG,worthless,pizza,0
4.5 stars out of 5 for sure ... I almost selected 5 stars .,POS,,,1
5 delicious waffle sized stars .,POS,delicious,waffle,0
"5 minutes later , his soup arrived , but OUR APPETIZERS WERE STILL NOT THERE .",NEG,,,1
5 o'clock somewhere was also a wonderful drink and I 'm not usually a fan of grapefruit .,NEG,fan,grapefruit,0
5 o'clock somewhere was also a wonderful drink and I 'm not usually a fan of grapefruit .,POS,wonderful,drink,0
5 star all the way,POS,,,1
52 minutes to have the first of our food brought out .,NEG,,,1
55 Salad ca n't be beat .,POS,beat,55,0
55 Salad ca n't be beat .,POS,beat,salad,0
888 is super delicious and has everything you could want !,POS,,888,1
888 is super delicious and has everything you could want !,POS,delicious,888,0
888 is super delicious and has everything you could want !,POS,SUPER,888,0
"A + for food , service and hospitality , and I could not recommend this place any more .",POS,,food,1
"A + for food , service and hospitality , and I could not recommend this place any more .",POS,,hospitality,1
"A + for food , service and hospitality , and I could not recommend this place any more .",POS,,service,1
"A + for food , service and hospitality , and I could not recommend this place any more .",POS,recommend,place,0
A bit pricey for pizza but I thought it was worth it .,NEG,a,pizza,0
A bit pricey for pizza but I thought it was worth it .,NEG,bit,pizza,0
A bit pricey for pizza but I thought it was worth it .,NEG,pricey,pizza,0
A bit pricey for pizza but I thought it was worth it .,POS,worth,pizza,0
"A couple beside us showed us their burger , which was `` raw '' in the middle .",NEG,raw,burger,0
"A couple in our party ordered the chicken Marsala , which they said you could taste the wine & it was not good .",NEG,good,chicken,0
"A couple in our party ordered the chicken Marsala , which they said you could taste the wine & it was not good .",NEG,good,Marsala,0
"A couple in our party ordered the chicken Marsala , which they said you could taste the wine & it was not good .",NEG,not,chicken,0
"A couple in our party ordered the chicken Marsala , which they said you could taste the wine & it was not good .",NEG,not,Marsala,0
A couple of memorables are : - Rabbit Food - The kale salad have a nice zing from the lemon/anchovy dressing .,POS,memorables,food,0
A couple of memorables are : - Rabbit Food - The kale salad have a nice zing from the lemon/anchovy dressing .,POS,memorables,,0
A couple of memorables are : - Rabbit Food - The kale salad have a nice zing from the lemon/anchovy dressing .,POS,memorables,Rabbit,0
A couple of memorables are : - Rabbit Food - The kale salad have a nice zing from the lemon/anchovy dressing .,POS,Nice,kale,0
A couple of memorables are : - Rabbit Food - The kale salad have a nice zing from the lemon/anchovy dressing .,POS,Nice,salad,0
A couple of memorables are : - Rabbit Food - The kale salad have a nice zing from the lemon/anchovy dressing .,POS,zing,kale,0
A couple of memorables are : - Rabbit Food - The kale salad have a nice zing from the lemon/anchovy dressing .,POS,zing,salad,0
A fast food chicken sandwich / burger place that 's quick and tasty .,POS,quick,A,0
A fast food chicken sandwich / burger place that 's quick and tasty .,POS,quick,burger,0
A fast food chicken sandwich / burger place that 's quick and tasty .,POS,quick,chicken,0
A fast food chicken sandwich / burger place that 's quick and tasty .,POS,quick,Fast,0
A fast food chicken sandwich / burger place that 's quick and tasty .,POS,quick,food,0
A fast food chicken sandwich / burger place that 's quick and tasty .,POS,quick,sandwich,0
A fast food chicken sandwich / burger place that 's quick and tasty .,POS,tasty,A,0
A fast food chicken sandwich / burger place that 's quick and tasty .,POS,tasty,burger,0
A fast food chicken sandwich / burger place that 's quick and tasty .,POS,tasty,chicken,0
A fast food chicken sandwich / burger place that 's quick and tasty .,POS,tasty,Fast,0
A fast food chicken sandwich / burger place that 's quick and tasty .,POS,tasty,food,0
A fast food chicken sandwich / burger place that 's quick and tasty .,POS,tasty,sandwich,0
A favorite aspect is the short pours of wine available so you dont have to commit to a whole glass and can taste several as you eat different dishes .,POS,favorite,aspect,0
A fenway must try !,POS,try,,0
A few bucks at bestCheap drinks ! ! !,POS,bestCheap,drinks,0
"A few burgers , a plate of poutine , and some salads were whisked past my face at different times and they smelled ( except for the salad , salads do n't smell ) like some top-notch pub grub .",POS,top-notch,burgers,0
"A few burgers , a plate of poutine , and some salads were whisked past my face at different times and they smelled ( except for the salad , salads do n't smell ) like some top-notch pub grub .",POS,top-notch,poutine,0
"A friend recommended this modern coffee shop so I went and checked out when I was in the neighbourhood.The espresso is quite good , they offer a nice selection of tea for non-coffee drinkers out there and the decor and atmosphere are comfortable and welcoming.I would definitely recommend this place to anyone looking for a new coffee spot .",POS,,coffee,1
"A friend recommended this modern coffee shop so I went and checked out when I was in the neighbourhood.The espresso is quite good , they offer a nice selection of tea for non-coffee drinkers out there and the decor and atmosphere are comfortable and welcoming.I would definitely recommend this place to anyone looking for a new coffee spot .",POS,,modern,1
"A friend recommended this modern coffee shop so I went and checked out when I was in the neighbourhood.The espresso is quite good , they offer a nice selection of tea for non-coffee drinkers out there and the decor and atmosphere are comfortable and welcoming.I would definitely recommend this place to anyone looking for a new coffee spot .",POS,,shop,1
"A friend recommended this modern coffee shop so I went and checked out when I was in the neighbourhood.The espresso is quite good , they offer a nice selection of tea for non-coffee drinkers out there and the decor and atmosphere are comfortable and welcoming.I would definitely recommend this place to anyone looking for a new coffee spot .",POS,comfortable,atmosphere,0
"A friend recommended this modern coffee shop so I went and checked out when I was in the neighbourhood.The espresso is quite good , they offer a nice selection of tea for non-coffee drinkers out there and the decor and atmosphere are comfortable and welcoming.I would definitely recommend this place to anyone looking for a new coffee spot .",POS,comfortable,decor,0
"A friend recommended this modern coffee shop so I went and checked out when I was in the neighbourhood.The espresso is quite good , they offer a nice selection of tea for non-coffee drinkers out there and the decor and atmosphere are comfortable and welcoming.I would definitely recommend this place to anyone looking for a new coffee spot .",POS,definitely,place,0
"A friend recommended this modern coffee shop so I went and checked out when I was in the neighbourhood.The espresso is quite good , they offer a nice selection of tea for non-coffee drinkers out there and the decor and atmosphere are comfortable and welcoming.I would definitely recommend this place to anyone looking for a new coffee spot .",POS,good,espresso,0
"A friend recommended this modern coffee shop so I went and checked out when I was in the neighbourhood.The espresso is quite good , they offer a nice selection of tea for non-coffee drinkers out there and the decor and atmosphere are comfortable and welcoming.I would definitely recommend this place to anyone looking for a new coffee spot .",POS,nice,tea,0
"A friend recommended this modern coffee shop so I went and checked out when I was in the neighbourhood.The espresso is quite good , they offer a nice selection of tea for non-coffee drinkers out there and the decor and atmosphere are comfortable and welcoming.I would definitely recommend this place to anyone looking for a new coffee spot .",POS,quite,espresso,0
"A friend recommended this modern coffee shop so I went and checked out when I was in the neighbourhood.The espresso is quite good , they offer a nice selection of tea for non-coffee drinkers out there and the decor and atmosphere are comfortable and welcoming.I would definitely recommend this place to anyone looking for a new coffee spot .",POS,recommend,place,0
"A friend recommended this modern coffee shop so I went and checked out when I was in the neighbourhood.The espresso is quite good , they offer a nice selection of tea for non-coffee drinkers out there and the decor and atmosphere are comfortable and welcoming.I would definitely recommend this place to anyone looking for a new coffee spot .",POS,welcoming.I,atmosphere,0
"A friend recommended this modern coffee shop so I went and checked out when I was in the neighbourhood.The espresso is quite good , they offer a nice selection of tea for non-coffee drinkers out there and the decor and atmosphere are comfortable and welcoming.I would definitely recommend this place to anyone looking for a new coffee spot .",POS,welcoming.I,decor,0
"A girlfriend and I came here on a Thursday night , and didn't have to wait at all for a table , despite a bustling First Thursday '' night .",POS,,,1
A good place to try something new !,POS,good,place,0
A great restaurant with great staff !,POS,great,restaurant,0
A great restaurant with great staff !,POS,great,staff,0
A little different then what I am used too in Texas but good .,POS,good,,0
"A little disappointed with the noodles , not as chewy as I would have liked , but that was very minor .",NEG,a,noodles,0
"A little disappointed with the noodles , not as chewy as I would have liked , but that was very minor .",NEG,as,noodles,0
"A little disappointed with the noodles , not as chewy as I would have liked , but that was very minor .",NEG,chewy,noodles,0
"A little disappointed with the noodles , not as chewy as I would have liked , but that was very minor .",NEG,disappointed,noodles,0
"A little disappointed with the noodles , not as chewy as I would have liked , but that was very minor .",NEG,little,noodles,0
"A little disappointed with the noodles , not as chewy as I would have liked , but that was very minor .",NEG,not,noodles,0
A little expensive but worth it .,NEG,a,,0
A little expensive but worth it .,NEG,expensive,,0
A little expensive but worth it .,NEG,little,,0
A little expensive but worth it .,POS,worth,,0
A little pricey but I think its worth it .,NEG,a,,0
A little pricey but I think its worth it .,NEG,little,,0
A little pricey but I think its worth it .,NEG,pricey,,0
A little pricey but I think its worth it .,POS,worth,,0
A little pricey but very good for once in a while .,NEG,a,,0
A little pricey but very good for once in a while .,NEG,little,,0
A little pricey but very good for once in a while .,NEG,pricey,,0
A little pricey but very good for once in a while .,POS,good,,0
A little pricey but very good for once in a while .,POS,very,,0
A little salty and perfect for savory loving people .,POS,perfect,,0
A lot like Veg House in China town but with a more polished atmosphere .,POS,more,atmosphere,0
A lot like Veg House in China town but with a more polished atmosphere .,POS,polished,atmosphere,0
"A lot of other places have a really heavy , salty flavour - but this place is very light and has the perfect blend of spices and herbs .",POS,light,,0
"A lot of other places have a really heavy , salty flavour - but this place is very light and has the perfect blend of spices and herbs .",POS,perfect,herbs,0
"A lot of other places have a really heavy , salty flavour - but this place is very light and has the perfect blend of spices and herbs .",POS,perfect,spices,0
"A lot of other places have a really heavy , salty flavour - but this place is very light and has the perfect blend of spices and herbs .",POS,very,,0
"A lot of the dishes are greasy for my taste , but I 'm picky that way .",POS,greasy,dishes,0
A manager even came around to make sure everything was ok. We will be going back regularly .,POS,,manager,1
A manager even came around to make sure everything was ok. We will be going back regularly .,POS,,,1
A must try if in the area !,POS,,,1
