sentence,sentiment,opinion,aspect,subjectivity
"Also , we were trying to book the third night and she rented it to someone else after approving us for it and airbnb said the only way this would happen was if she had approved their rental .",NEG,,,1
Also ... it was nice that she did not jack the price up on Boston marathon weekend like all the other AirBnB people I messaged months in advance .,POS,,,1
Also a wonderful area to walk around .,POS,wonderful,Area,0
Also answered all my follow up questions as well .,POS,,,1
Also great walking distance for a ton of local spots and a peaceful quiet neighborhood for enjoying Boston nights !,POS,great,,0
Also great walking distance for a ton of local spots and a peaceful quiet neighborhood for enjoying Boston nights !,POS,Peaceful,neighborhood,0
Also great walking distance for a ton of local spots and a peaceful quiet neighborhood for enjoying Boston nights !,POS,quiet,neighborhood,0
"Also if you have issues with stairs , may not be the ideal place , but otherwise PERFECT .",NEG,be,stairs,0
"Also if you have issues with stairs , may not be the ideal place , but otherwise PERFECT .",NEG,ideal,stairs,0
"Also if you have issues with stairs , may not be the ideal place , but otherwise PERFECT .",NEG,not,stairs,0
"Also if you have issues with stairs , may not be the ideal place , but otherwise PERFECT .",NEG,the,stairs,0
"Also if you have issues with stairs , may not be the ideal place , but otherwise PERFECT .",POS,perfect,,0
Also thankful for the big umbrellas Todd had available for his guests as it rained one of the days during our stay .,POS,thankful,umbrellas,0
Also the bathroom was gorgeous - great shower .,POS,gorgeous,shower,0
Also the bathroom was gorgeous - great shower .,POS,great,shower,0
"Also there is parking available , which is a plus for me .",POS,,Parking,1
"Although I did not meet her in person , Jennifer was super responsive to queries and problems .",POS,responsive,Jennifer,0
"Although I did not meet her in person , Jennifer was super responsive to queries and problems .",POS,super,Jennifer,0
"Although I did n't meet the host , she made herself available for any questions and/or concerns .",POS,available,host,0
"Although Penny 's home had many good features , including beautiful art and throughout I most appreciated the cleanliness of the suite and the rest of the home .",POS,appreciated,home,0
"Although Penny 's home had many good features , including beautiful art and throughout I most appreciated the cleanliness of the suite and the rest of the home .",POS,appreciated,suite,0
"Although Penny 's home had many good features , including beautiful art and throughout I most appreciated the cleanliness of the suite and the rest of the home .",POS,beautiful,art,0
"Although Penny 's home had many good features , including beautiful art and throughout I most appreciated the cleanliness of the suite and the rest of the home .",POS,good,features,0
"Although Penny 's home had many good features , including beautiful art and throughout I most appreciated the cleanliness of the suite and the rest of the home .",POS,most,home,0
"Although Penny 's home had many good features , including beautiful art and throughout I most appreciated the cleanliness of the suite and the rest of the home .",POS,most,suite,0
Although the apartment is large enough to receive guests it still has a cozy feel to it .,POS,cozy,apartment,0
Although the apartment is large enough to receive guests it still has a cozy feel to it .,POS,large,apartment,0
"Although the oblivious guest in the adjacent room was rather obnoxiously loud the first night of my stay ( from 10pm to past midnight ) , Todd quickly addressed the situation the next morning .",POS,quickly,Todd,0
Although we were not out too late at night we felt very safe walking back from the train .,POS,safe,,0
Although we were not out too late at night we felt very safe walking back from the train .,POS,very,,0
Amazing and beautiful home .,POS,amazing,home,0
Amazing and beautiful home .,POS,beautiful,home,0
Amazing beautiful place .,POS,amazing,place,0
Amazing beautiful place .,POS,beautiful,place,0
"Amazing hosts , plus the bed is sooooo comfortable !",POS,amazing,hosts,0
"Amazing hosts , plus the bed is sooooo comfortable !",POS,comfortable,bed,0
"Amazing hosts , plus the bed is sooooo comfortable !",POS,sooooo,bed,0
AMAZING LOCATION !,POS,amazing,location,0
"Amazing location , quaint classic Boston town home , very updated and family oriented .",POS,amazing,location,0
"Amazing location , quaint classic Boston town home , very updated and family oriented .",POS,classic,Boston,0
"Amazing location , quaint classic Boston town home , very updated and family oriented .",POS,classic,home,0
"Amazing location , quaint classic Boston town home , very updated and family oriented .",POS,classic,town,0
"Amazing location , quaint classic Boston town home , very updated and family oriented .",POS,quaint,Boston,0
"Amazing location , quaint classic Boston town home , very updated and family oriented .",POS,quaint,home,0
"Amazing location , quaint classic Boston town home , very updated and family oriented .",POS,quaint,town,0
Amazing location and beautiful view of Seaport to wake up to !,POS,amazing,location,0
Amazing location and beautiful view of Seaport to wake up to !,POS,beautiful,view,0
Amazing location and very good communication with Oine .,POS,amazing,location,0
Amazing location and very good communication with Oine .,POS,good,communication,0
Amazing location and very good communication with Oine .,POS,very,communication,0
Amazing place !,POS,amazing,place,0
Amazing place not far from the center of Boston .,POS,amazing,place,0
"Amazing place to stay in Boston , definitively recommended !",POS,amazing,place,0
"Amazing place to stay in Boston , definitively recommended !",POS,definitively,place,0
"Amazing place to stay in Boston , definitively recommended !",POS,recommended,place,0
Amazing place to stay in Boston this family is friendly and loving .,POS,amazing,place,0
Amazing place to stay in Boston this family is friendly and loving .,POS,friendly,family,0
Amazing place to stay in Boston this family is friendly and loving .,POS,loving,family,0
Amazing views .,POS,amazing,views,0
"An all-around excellent experience , highly recommend !",POS,Excellent,,0
"An all-around excellent experience , highly recommend !",POS,Highly,,0
"An all-around excellent experience , highly recommend !",POS,recommend,,0
"And , the location was fantastic .",POS,fantastic,location,0
And a quiet place as well .,POS,quiet,,1
And her cat is really lovely .,POS,lovely,cat,0
And her cat is really lovely .,POS,Really,cat,0
And her home was conveniently located to the downtown and surrounding neigborhoods .,POS,conveniently,home,0
And if your into cooking your own food she has just about everything you could ever need ( Just beware of the tap water in the kitchen sink it comes out very cloudy even after letting it run for a little ) .,POS,,kitchen,1
And if your into cooking your own food she has just about everything you could ever need ( Just beware of the tap water in the kitchen sink it comes out very cloudy even after letting it run for a little ) .,NEG,cloudy,tap,0
And if your into cooking your own food she has just about everything you could ever need ( Just beware of the tap water in the kitchen sink it comes out very cloudy even after letting it run for a little ) .,NEG,cloudy,water,0
And if your into cooking your own food she has just about everything you could ever need ( Just beware of the tap water in the kitchen sink it comes out very cloudy even after letting it run for a little ) .,NEG,very,tap,0
And if your into cooking your own food she has just about everything you could ever need ( Just beware of the tap water in the kitchen sink it comes out very cloudy even after letting it run for a little ) .,NEG,very,water,0
And Jamaica plaint is a quiet safety residential area .,POS,quiet,area,1
And Jamaica plaint is a quiet safety residential area .,POS,quiet,residential,1
And Jamaica plaint is a quiet safety residential area .,POS,safety,area,1
And Jamaica plaint is a quiet safety residential area .,POS,safety,residential,1
And location is fabulous and easy to take train to head to downtown less than half an hour .,POS,easy,location,0
And location is fabulous and easy to take train to head to downtown less than half an hour .,POS,Fabulous,location,0
And make sure you check it the roof !,POS,,roof,1
And Oine was great .,POS,great,Oine,0
And she is a pleasure to deal with .,POS,pleasure,,0
And the breakfast provided by the hosts was great .,POS,great,breakfast,0
And the grocery store stop & shop is just ahead .,POS,,,1
And the location is not too far from the downtown .,POS,,location,1
And the rooftop deck alone was worth getting this place !,POS,worth,deck,0
And the rooftop deck alone was worth getting this place !,POS,worth,rooftop,0
"And they gave us very useful information about Boston , which helps us a lot .",POS,helps,information,0
"And they gave us very useful information about Boston , which helps us a lot .",POS,useful,information,0
"And they gave us very useful information about Boston , which helps us a lot .",POS,very,information,0
And Tiffany was the perfect hostess and very responsive to all our questions .,POS,perfect,Tiffany,0
And Tiffany was the perfect hostess and very responsive to all our questions .,POS,responsive,Tiffany,0
And Tiffany was the perfect hostess and very responsive to all our questions .,POS,very,Tiffany,0
And Tod is always on call to help .,POS,help,Tod,0
"And Valeria made banana bread for us , which is great .",POS,great,banana,0
"And Valeria made banana bread for us , which is great .",POS,great,bread,0
And we definitely recommend spending time on the roof top deck !,POS,definitely,deck,0
And we definitely recommend spending time on the roof top deck !,POS,definitely,roof,0
And we definitely recommend spending time on the roof top deck !,POS,definitely,top,0
And we definitely recommend spending time on the roof top deck !,POS,recommend,deck,0
And we definitely recommend spending time on the roof top deck !,POS,recommend,roof,0
And we definitely recommend spending time on the roof top deck !,POS,recommend,top,0
Another great stay at one of Todd 's places !,POS,great,,0
Another great stay at Todd 's house !,POS,great,,0
Another great stay at Todd 's place .,POS,great,,0
"Any problems or questions I had , Todd was quick to answer .",POS,quick,Todd,0
Any questions I had he promptly responded .,POS,promptly,,0
Any questions I had were answered almost as quick as I emailed them .,POS,quick,them,0
Anyway I liked the room and I was able to reach downtown in 10 min driving .,POS,,,1
Anyway I liked the room and I was able to reach downtown in 10 min driving .,POS,liked,room,0
Apartment has modern amenities and is quite comfortable .,POS,comfortable,apartment,0
Apartment has modern amenities and is quite comfortable .,POS,modern,amenities,0
Apartment has modern amenities and is quite comfortable .,POS,quite,apartment,0
Apartment is family friendly and comfortable .,POS,comfortable,apartment,0
Apartment is family friendly and comfortable .,POS,family,apartment,0
Apartment is family friendly and comfortable .,POS,friendly,apartment,0
"Apartment was clean and well taken care of , she even provided travel toothpaste and shampoo .",POS,,shampoo,1
"Apartment was clean and well taken care of , she even provided travel toothpaste and shampoo .",POS,,toothpaste,1
"Apartment was clean and well taken care of , she even provided travel toothpaste and shampoo .",POS,Clean,apartment,0
"Apartment was clean and well taken care of , she even provided travel toothpaste and shampoo .",POS,well,apartment,0
Apartment was just like the pictures and with the character of Boston !,POS,,apartment,1
Apartment was very clean and quaint and gives you a real Boston experience .,POS,Clean,apartment,0
Apartment was very clean and quaint and gives you a real Boston experience .,POS,quaint,apartment,0
Apartment was very clean and quaint and gives you a real Boston experience .,POS,very,apartment,0
Appreciate everything - thank you !,POS,Appreciate,,0
Appreciate everything - thank you !,POS,Thank,,0
Appreciated Cup of coffee and light breakfast .,POS,appreciated,breakfast,0
Appreciated Cup of coffee and light breakfast .,POS,appreciated,Coffee,0
Appreciated Cup of coffee and light breakfast .,POS,light,breakfast,0
Appreciated how accommodating Mark and Roman were throughout stay .,POS,appreciated,Mark,0
Appreciated how accommodating Mark and Roman were throughout stay .,POS,appreciated,Roman,0
Apt is nicely furnished and kept very clean .,POS,Clean,apt,0
Apt is nicely furnished and kept very clean .,POS,Nicely,apt,0
Apt is nicely furnished and kept very clean .,POS,very,apt,0
"Area is safe and well lit , no frills in the unit but it is very clean and well appointed and a great value .",POS,clean,unit,0
"Area is safe and well lit , no frills in the unit but it is very clean and well appointed and a great value .",POS,great,value,0
"Area is safe and well lit , no frills in the unit but it is very clean and well appointed and a great value .",POS,safe,Area,0
"Area is safe and well lit , no frills in the unit but it is very clean and well appointed and a great value .",POS,very,unit,0
"Area is safe and well lit , no frills in the unit but it is very clean and well appointed and a great value .",POS,well,Area,0
"Area is safe and well lit , no frills in the unit but it is very clean and well appointed and a great value .",POS,well,unit,0
"Area is SUPER quiet , residential , a park is nearby less than a block , and overall good chill quiet mellow location .",POS,chill,location,0
"Area is SUPER quiet , residential , a park is nearby less than a block , and overall good chill quiet mellow location .",POS,good,location,0
"Area is SUPER quiet , residential , a park is nearby less than a block , and overall good chill quiet mellow location .",POS,mellow,location,0
"Area is SUPER quiet , residential , a park is nearby less than a block , and overall good chill quiet mellow location .",POS,quiet,area,0
"Area is SUPER quiet , residential , a park is nearby less than a block , and overall good chill quiet mellow location .",POS,quiet,location,0
"Area is SUPER quiet , residential , a park is nearby less than a block , and overall good chill quiet mellow location .",POS,super,area,0
Arrival and acess to appartment was very easy .,POS,easy,acess,0
Arrival and acess to appartment was very easy .,POS,easy,Arrival,0
Arrival and acess to appartment was very easy .,POS,very,acess,0
Arrival and acess to appartment was very easy .,POS,very,Arrival,0
Artsy feel .,POS,Artsy,,0
"As a group of four university professors visiting Boston for a conference , Gloria 's apartment was both more economical and much grander than staying in a hotel would have been .",POS,economical,apartment,0
"As a group of four university professors visiting Boston for a conference , Gloria 's apartment was both more economical and much grander than staying in a hotel would have been .",POS,economical,Gloria,0
"As a group of four university professors visiting Boston for a conference , Gloria 's apartment was both more economical and much grander than staying in a hotel would have been .",POS,economical,'s,0
"As a group of four university professors visiting Boston for a conference , Gloria 's apartment was both more economical and much grander than staying in a hotel would have been .",POS,grander,apartment,0
"As a group of four university professors visiting Boston for a conference , Gloria 's apartment was both more economical and much grander than staying in a hotel would have been .",POS,grander,Gloria,0
"As a group of four university professors visiting Boston for a conference , Gloria 's apartment was both more economical and much grander than staying in a hotel would have been .",POS,grander,'s,0
"As a group of four university professors visiting Boston for a conference , Gloria 's apartment was both more economical and much grander than staying in a hotel would have been .",POS,much,apartment,0
"As a group of four university professors visiting Boston for a conference , Gloria 's apartment was both more economical and much grander than staying in a hotel would have been .",POS,much,Gloria,0
"As a group of four university professors visiting Boston for a conference , Gloria 's apartment was both more economical and much grander than staying in a hotel would have been .",POS,much,'s,0
"As a guest , you have high privacy because your room is located at the loft and you have a private bathroom .",POS,high,privacy,0
"As a host , Tiffany was wonderful and attentive .",POS,attentive,Tiffany,0
"As a host , Tiffany was wonderful and attentive .",POS,wonderful,Tiffany,0
As advertised and great location .,POS,great,location,0
"As an Airbnb Superhost myself , I 'd recommend Valerie 's home to future potential guests .",POS,recommend,home,0
"As an Airbnb Superhost myself , I 'd recommend Valerie 's home to future potential guests .",POS,recommend,'s,0
"As an Airbnb Superhost myself , I 'd recommend Valerie 's home to future potential guests .",POS,recommend,Valerie,0
"As far as location goes , it 's tough to do better .",POS,better,location,0
As for her place - it 's fabulous .,POS,Fabulous,place,0
As it is a ground floor apartment with the family living above it can be noisy at times .,NEG,noisy,apartment,0
"Aside from that , it 's a lovely little room !",POS,lovely,room,0
"At first I panicked over internet connection , Luckily I waited for Kama , Who arrived in person , Solved it and kindly took me for an informative neighborhood tour .",POS,informative,Kama,0
"At first I panicked over internet connection , Luckily I waited for Kama , Who arrived in person , Solved it and kindly took me for an informative neighborhood tour .",POS,kindly,Kama,0
"At first I panicked over internet connection , Luckily I waited for Kama , Who arrived in person , Solved it and kindly took me for an informative neighborhood tour .",POS,Luckily,Kama,0
At least we were able to eat @ Charlie 's Sandwich Shoppe right around the corner ( the Cranberry Griddle Cakes were SO yummy ! ),POS,,,1
Atleast half of the towels have brown/black stains .,NEG,brown/black,towels,0
Atleast half of the towels have brown/black stains .,NEG,stains,towels,0
Authentic neighborhood with great food in walking distance .,POS,,neighborhood,1
Awesome !,POS,Awesome,,0
Awesome Airbnb with beautiful views .,POS,Awesome,airbnb,0
