sentence,sentiment,opinion,aspect,subjectivity
: I regularly recommend Ms. Lackberg 's novels for those either new to Nordic Noir and need a gentle introduction or fans of authors such as Lisa Gardner .,POS,regularly,'s,0
` The shipping was fast and the book in good condition !,POS,fast,shipping,0
` The shipping was fast and the book in good condition !,POS,good,book,0
100 stars !,POS,,,1
"A beautifully written , fascinating , well researched , and , ultimately , sobering look at cancer .",POS,beautifully,sobering,0
"A beautifully written , fascinating , well researched , and , ultimately , sobering look at cancer .",POS,Fascinating,sobering,0
"A beautifully written , fascinating , well researched , and , ultimately , sobering look at cancer .",POS,ultimately,sobering,0
"A beautifully written , fascinating , well researched , and , ultimately , sobering look at cancer .",POS,well,sobering,0
A big fan of Camilla 's .,POS,big,Camilla,0
A big fan of Camilla 's .,POS,fan,Camilla,0
A bit difficult in the beginning to follow the parallel stories butgot better worth finishing .,NEG,,stories,1
A bit difficult in the beginning to follow the parallel stories butgot better worth finishing .,POS,better,stories,1
A bit difficult in the beginning to follow the parallel stories butgot better worth finishing .,POS,worth,stories,1
A book from one of the best Swedish mystery novelists .,POS,best,book,0
A book that keeps you interested and thirsty for more .,POS,,book,1
A book written by Mr. Burrell who worked for Diana and who obviously adored here so I take everything with that thought in mind ... .she was not an angel ...,POS,,book,1
A contemporary classic .,POS,,classic,1
"A couple times the wrong word is used ( I mean you no hard instead of harm , I never told anyhow else instead of anyone . ) .",NEG,,word,1
"A couple times the wrong word is used ( I mean you no hard instead of harm , I never told anyhow else instead of anyone . ) .",NEG,,wrong,1
A crashing plane is hardly making a triumphant farewell ; it is simply .,NEG,simply,,0
"A culture which is based on greed and obesity and gluttony -- well , I can't imagine what Robin was thinking .",NEG,,,1
A decent book .,POS,decent,book,0
A definite must read !,POS,,,1
a fabulously written book ... . very throrough and complete !,POS,complete,book,0
a fabulously written book ... . very throrough and complete !,POS,fabulously,book,0
a fabulously written book ... . very throrough and complete !,POS,throrough,book,0
a fabulously written book ... . very throrough and complete !,POS,very,book,0
"A fairly good plot , some very good historical information , but with very cookie cutter characters - the hero who gets in and out of trouble repeatedly , the villains who are after the hero but continue to miss their opportunity to put an end to him , the sidekick who helps the hero out of several jams , and in this case unlike some others in this space , a rather weak female lead.Descriptions of the sites are done very well and at a good level of detail , putting you right there with the characters .",POS,,lead.Descriptions,1
"A fairly good plot , some very good historical information , but with very cookie cutter characters - the hero who gets in and out of trouble repeatedly , the villains who are after the hero but continue to miss their opportunity to put an end to him , the sidekick who helps the hero out of several jams , and in this case unlike some others in this space , a rather weak female lead.Descriptions of the sites are done very well and at a good level of detail , putting you right there with the characters .",NEG,cookie,characters,0
"A fairly good plot , some very good historical information , but with very cookie cutter characters - the hero who gets in and out of trouble repeatedly , the villains who are after the hero but continue to miss their opportunity to put an end to him , the sidekick who helps the hero out of several jams , and in this case unlike some others in this space , a rather weak female lead.Descriptions of the sites are done very well and at a good level of detail , putting you right there with the characters .",NEG,cutter,characters,0
"A fairly good plot , some very good historical information , but with very cookie cutter characters - the hero who gets in and out of trouble repeatedly , the villains who are after the hero but continue to miss their opportunity to put an end to him , the sidekick who helps the hero out of several jams , and in this case unlike some others in this space , a rather weak female lead.Descriptions of the sites are done very well and at a good level of detail , putting you right there with the characters .",NEG,very,characters,0
"A fairly good plot , some very good historical information , but with very cookie cutter characters - the hero who gets in and out of trouble repeatedly , the villains who are after the hero but continue to miss their opportunity to put an end to him , the sidekick who helps the hero out of several jams , and in this case unlike some others in this space , a rather weak female lead.Descriptions of the sites are done very well and at a good level of detail , putting you right there with the characters .",POS,fairly,plot,0
"A fairly good plot , some very good historical information , but with very cookie cutter characters - the hero who gets in and out of trouble repeatedly , the villains who are after the hero but continue to miss their opportunity to put an end to him , the sidekick who helps the hero out of several jams , and in this case unlike some others in this space , a rather weak female lead.Descriptions of the sites are done very well and at a good level of detail , putting you right there with the characters .",POS,Good,historical,0
"A fairly good plot , some very good historical information , but with very cookie cutter characters - the hero who gets in and out of trouble repeatedly , the villains who are after the hero but continue to miss their opportunity to put an end to him , the sidekick who helps the hero out of several jams , and in this case unlike some others in this space , a rather weak female lead.Descriptions of the sites are done very well and at a good level of detail , putting you right there with the characters .",POS,Good,information,0
"A fairly good plot , some very good historical information , but with very cookie cutter characters - the hero who gets in and out of trouble repeatedly , the villains who are after the hero but continue to miss their opportunity to put an end to him , the sidekick who helps the hero out of several jams , and in this case unlike some others in this space , a rather weak female lead.Descriptions of the sites are done very well and at a good level of detail , putting you right there with the characters .",POS,Good,plot,0
"A fairly good plot , some very good historical information , but with very cookie cutter characters - the hero who gets in and out of trouble repeatedly , the villains who are after the hero but continue to miss their opportunity to put an end to him , the sidekick who helps the hero out of several jams , and in this case unlike some others in this space , a rather weak female lead.Descriptions of the sites are done very well and at a good level of detail , putting you right there with the characters .",POS,very,historical,0
"A fairly good plot , some very good historical information , but with very cookie cutter characters - the hero who gets in and out of trouble repeatedly , the villains who are after the hero but continue to miss their opportunity to put an end to him , the sidekick who helps the hero out of several jams , and in this case unlike some others in this space , a rather weak female lead.Descriptions of the sites are done very well and at a good level of detail , putting you right there with the characters .",POS,very,information,0
"A fairly good plot , some very good historical information , but with very cookie cutter characters - the hero who gets in and out of trouble repeatedly , the villains who are after the hero but continue to miss their opportunity to put an end to him , the sidekick who helps the hero out of several jams , and in this case unlike some others in this space , a rather weak female lead.Descriptions of the sites are done very well and at a good level of detail , putting you right there with the characters .",POS,very,lead.Descriptions,0
"A fairly good plot , some very good historical information , but with very cookie cutter characters - the hero who gets in and out of trouble repeatedly , the villains who are after the hero but continue to miss their opportunity to put an end to him , the sidekick who helps the hero out of several jams , and in this case unlike some others in this space , a rather weak female lead.Descriptions of the sites are done very well and at a good level of detail , putting you right there with the characters .",POS,well,lead.Descriptions,0
A fantastic conclusion to one of the top trilogies in recent memory .,POS,fantastic,conclusion,0
A fantastic history of cancer and its treatment .,POS,fantastic,and,0
A fantastic history of cancer and its treatment .,POS,fantastic,cancer,0
A fantastic history of cancer and its treatment .,POS,fantastic,history,0
A fantastic history of cancer and its treatment .,POS,fantastic,its,0
A fantastic history of cancer and its treatment .,POS,fantastic,of,0
A fantastic history of cancer and its treatment .,POS,fantastic,treatment,0
"A fascinating , epic study of the malady that has stalked humankind from the beginning of civilization .",POS,epic,study,0
"A fascinating , epic study of the malady that has stalked humankind from the beginning of civilization .",POS,Fascinating,study,0
A fascinating and absorbing story of an epic and ongoing battle .,POS,absorbing,story,0
A fascinating and absorbing story of an epic and ongoing battle .,POS,epic,story,0
A fascinating and absorbing story of an epic and ongoing battle .,POS,Fascinating,story,0
A fascinating and well written history of cancer in all of its forms .,POS,fascinating,history,0
A fascinating and well written history of cancer in all of its forms .,POS,Well,history,0
"A fascinating look into the history of cancer and the heroics , politics , blindness and pettiness of science .",POS,Fascinating,,0
"A few gaffes here and there , and one thing that bothers me is how Pug 's relationship with previously close family like Tad and Zane is all but gone in these books .",NEG,bothers,,0
"A few gaffes here and there , and one thing that bothers me is how Pug 's relationship with previously close family like Tad and Zane is all but gone in these books .",NEG,gaffes,,0
A few situations are old school but I would be disappointed if he changed his style altogether .,NEG,old,situations,0
A few situations are old school but I would be disappointed if he changed his style altogether .,NEG,school,situations,0
A fitting memorial for those who loved her .,POS,fitting,memorial,0
A friend gave me The Ice Princess and I loved it !,POS,loved,Ice,0
A friend gave me The Ice Princess and I loved it !,POS,loved,Princess,0
A friend gave me The Ice Princess and I loved it !,POS,loved,THE,0
A gift to the world .,POS,,gift,1
A good bridge the third book .,POS,good,book,0
"A good mystery - hard to go so far back to find connections and began to seemdisjointed , but it all came together very well .",NEG,,,1
"A good mystery - hard to go so far back to find connections and began to seemdisjointed , but it all came together very well .",POS,good,mystery,1
"A good mystery - hard to go so far back to find connections and began to seemdisjointed , but it all came together very well .",POS,very,,1
"A good mystery - hard to go so far back to find connections and began to seemdisjointed , but it all came together very well .",POS,Well,,1
A good mystery -- maybe .,NEU,,mystery,1
A good read .,POS,good,read,0
"A good read and it really takes you right into the story , so you just want to keep on reading to find out what is going to happen next .",POS,,read,1
"A good read and it really takes you right into the story , so you just want to keep on reading to find out what is going to happen next .",POS,good,read,0
"A good read to relax , even though Erica , the main female character is a bit boring .",NEG,a,character,0
"A good read to relax , even though Erica , the main female character is a bit boring .",NEG,a,female,0
"A good read to relax , even though Erica , the main female character is a bit boring .",NEG,a,main,0
"A good read to relax , even though Erica , the main female character is a bit boring .",NEG,bit,character,0
"A good read to relax , even though Erica , the main female character is a bit boring .",NEG,bit,female,0
"A good read to relax , even though Erica , the main female character is a bit boring .",NEG,bit,main,0
"A good read to relax , even though Erica , the main female character is a bit boring .",NEG,boring,character,0
"A good read to relax , even though Erica , the main female character is a bit boring .",NEG,boring,female,0
"A good read to relax , even though Erica , the main female character is a bit boring .",NEG,boring,main,0
"A good read to relax , even though Erica , the main female character is a bit boring .",POS,Good,read,0
A good story which kept me guessing until near the end .,POS,Good,story,0
A great history of the worst disease imagineable .,POS,great,history,0
"A great intro to numbers , colors , sharing and cleaning .",POS,great,intro,0
A great introduction and overview of the complexity of the disease wecall cancer .,POS,great,introduction,0
A great introduction and overview of the complexity of the disease wecall cancer .,POS,great,overview,0
A great read !,POS,great,read,0
"A great read for armchair travelers , history buffs , and adventure buffs .",POS,great,read,0
A great read for newcomers to the world of oncology or just the generally curious .,POS,great,read,0
A great read that brought a tear to my eye and a few angry moments too !,POS,great,read,0
A great way get a perspective of how we got to where we are with Cancer treatment .,POS,great,way,0
"A heartbreaking story about a child 's gradual revelation about her extreme sexual abuse , and how the foster system is sometimes the best thing possible .",NEG,extreme,abuse,0
"A heartbreaking story about a child 's gradual revelation about her extreme sexual abuse , and how the foster system is sometimes the best thing possible .",NEG,extreme,sexual,0
"A heartbreaking story about a child 's gradual revelation about her extreme sexual abuse , and how the foster system is sometimes the best thing possible .",NEG,Heartbreaking,story,0
"A horrible novel.No police force talks and acts like this.The plt was vague , , characters preform like zombies.the main word used is sodding '. awful book",NEG,,characters,1
"A horrible novel.No police force talks and acts like this.The plt was vague , , characters preform like zombies.the main word used is sodding '. awful book",NEG,awful,book,0
"A horrible novel.No police force talks and acts like this.The plt was vague , , characters preform like zombies.the main word used is sodding '. awful book",NEG,horrible,novel.No,0
"A horrible novel.No police force talks and acts like this.The plt was vague , , characters preform like zombies.the main word used is sodding '. awful book",NEG,vague,plt,0
A huge learning experience .,POS,huge,,0
"A kaleidoscope of plot twists , substantial characters with markedly different personas , and concise yet magnetic writing combined in a quite satisfying collision of multiple mysteries .",POS,,characters,1
"A kaleidoscope of plot twists , substantial characters with markedly different personas , and concise yet magnetic writing combined in a quite satisfying collision of multiple mysteries .",POS,,plot,1
"A kaleidoscope of plot twists , substantial characters with markedly different personas , and concise yet magnetic writing combined in a quite satisfying collision of multiple mysteries .",POS,,twists,1
"A kaleidoscope of plot twists , substantial characters with markedly different personas , and concise yet magnetic writing combined in a quite satisfying collision of multiple mysteries .",POS,concise,writing,0
"A kaleidoscope of plot twists , substantial characters with markedly different personas , and concise yet magnetic writing combined in a quite satisfying collision of multiple mysteries .",POS,magnetic,writing,0
"A kaleidoscope of plot twists , substantial characters with markedly different personas , and concise yet magnetic writing combined in a quite satisfying collision of multiple mysteries .",POS,quite,,0
"A kaleidoscope of plot twists , substantial characters with markedly different personas , and concise yet magnetic writing combined in a quite satisfying collision of multiple mysteries .",POS,satisfying,,0
"A kaleidoscope of plot twists , substantial characters with markedly different personas , and concise yet magnetic writing combined in a quite satisfying collision of multiple mysteries .",POS,substantial,characters,0
"A kaleidoscope of plot twists , substantial characters with markedly different personas , and concise yet magnetic writing combined in a quite satisfying collision of multiple mysteries .",POS,yet,writing,0
"A lackluster selection of audiobooks at my local library sent me back to Lackberg 's Fjallbacka series , one I had left for dead after the lackluster second book The Preacher and it 's multitude of boring , away-from-the-actual-murder-investigation nonsense .",NEG,away-from-the-actual-murder-investigation,nonsense,0
"A lackluster selection of audiobooks at my local library sent me back to Lackberg 's Fjallbacka series , one I had left for dead after the lackluster second book The Preacher and it 's multitude of boring , away-from-the-actual-murder-investigation nonsense .",NEG,boring,nonsense,0
A little internal conflict in a character is a good thing but an entire book of internal conflict was wearying .,NEG,wearying,book,0
A little light enjoyment : ),POS,a,,0
A little light enjoyment : ),POS,enjoyment,,0
A little light enjoyment : ),POS,light,,0
A little light enjoyment : ),POS,little,,0
"A little slow in some areas , but a good read .",NEG,slow,,0
"A little slow in some areas , but a good read .",POS,Good,read,0
A little way into it though the poor editing started to annoy me .,NEG,annoy,editing,0
A little way into it though the poor editing started to annoy me .,NEG,poor,editing,0
A magnificent book .,POS,magnificent,book,0
a main character i never want to identify with .,NEG,,character,1
a main character i never want to identify with .,NEG,,main,1
A marvelous review of poor Afghanistan 's sad history and the billions of dollars that have been sunk trying to help it .,POS,marvelous,,0
A masterful history of one of the most deadly diseases that has riddled mankind .,POS,masterful,history,0
"A mesmerizing , compelling book that will keep pulling you back .",POS,,book,1
"A mesmerizing , compelling book that will keep pulling you back .",POS,compelling,book,0
"A mesmerizing , compelling book that will keep pulling you back .",POS,mesmerizing,book,0
"A minor quibble , perhaps , but it is just one example of the lack of quality that is found in the pages of this novel especially when compared to the high quality of Faye Kellerman 's earlier books .",NEG,lack,quality,0
"A mix of the Christian beliefs mixed with sexual abuse , followed by a courageous exit .",POS,courageous,,0
A must read .,POS,must,read,0
A must read and rent .,POS,must,read,0
A must read and rent .,POS,must,rent,0
A must read for all doctors !,POS,must,read,0
"A must read for all medical professionals , and especially those in oncology .",POS,must,read,0
A must read for anyone who is even mildly interested in the biological realms of this behemoth .,POS,,,1
A perfect film .,POS,perfect,film,0
"A primo basic , must-have resource for those of us dealing with cancer in the family .",POS,must-have,,0
"A princess needs to escape before she is forced into a marriage she doesnt want , blah , blah , blah .",NEG,,,1
"A rather abrupt ending , unfortunately .",NEG,unfortunately,ending,0
A rather complicated mystery but it held together well .,POS,well,,0
"A refreshing realism , combined with excellent writing .",POS,excellent,writing,0
"A refreshing realism , combined with excellent writing .",POS,refreshing,realism,0
"A search for Alexander the Great 's long-lost tomb , and to find his body , who could resist a novel like that .",POS,,novel,1
A story that grabbed this reader and wo n't let go .,POS,,story,1
"A story that takes some of the fear away from the word cancer , and replaces it with hard-won knowledge and insight .",POS,,story,1
"A story that takes some of the fear away from the word cancer , and replaces it with hard-won knowledge and insight .",POS,hard-won,insight,0
"A story that takes some of the fear away from the word cancer , and replaces it with hard-won knowledge and insight .",POS,hard-won,knowledge,0
"A strong series but , for me , most of the interest comes as much from the plot lines of the characters ( her sister , the police captain , Erica & Patrik , etc . )",POS,,lines,1
"A strong series but , for me , most of the interest comes as much from the plot lines of the characters ( her sister , the police captain , Erica & Patrik , etc . )",POS,,plot,1
"A strong series but , for me , most of the interest comes as much from the plot lines of the characters ( her sister , the police captain , Erica & Patrik , etc . )",POS,strong,series,0
"A superb historical , medical and social review of this awful disease .",POS,superb,review,0
"A superb work-engrossing , informative and well written .",POS,informative,,0
"A superb work-engrossing , informative and well written .",POS,superb,,0
"A superb work-engrossing , informative and well written .",POS,well,,0
"A superb work-engrossing , informative and well written .",POS,work-engrossing,,0
A terrible tale of abuse that hits you in the gut .,NEG,terrible,tale,0
"A terrifying yet elucidating history of cancer , a malady that has touched us all .",NEG,terrifying,history,0
A thoroughly inspiring read .,POS,inspiring,read,0
A thoroughly inspiring read .,POS,thoroughly,read,0
A total page-turner despite of the seriousness of the topic .,POS,,,1
A total page-turner despite of the seriousness of the topic .,NEG,seriousness,topic,0
A true representation of the life of new parents.Camilla Lackberg has given us another excellent novel .,POS,,Lackberg,1
A true representation of the life of new parents.Camilla Lackberg has given us another excellent novel .,POS,,parents.Camilla,1
A true representation of the life of new parents.Camilla Lackberg has given us another excellent novel .,POS,excellent,novel,0
A very comprehensive outlook on the history and evolution of knowledge about cancer from the scarce ancient records to the overwhelming attention it gained by the second half of the 20th century up to the recent years .,POS,comprehensive,outlook,0
A very comprehensive outlook on the history and evolution of knowledge about cancer from the scarce ancient records to the overwhelming attention it gained by the second half of the 20th century up to the recent years .,POS,very,outlook,0
A very good read .,POS,good,read,0
A very good read .,POS,very,read,0
"A very good read from the author who saw it all , up close and very personal .",POS,good,read,0
"A very good read from the author who saw it all , up close and very personal .",POS,very,read,0
"A very good story line , held your interest , and kept you guessing the finish .",POS,,line,1
"A very good story line , held your interest , and kept you guessing the finish .",POS,,story,1
"A very good story line , held your interest , and kept you guessing the finish .",POS,good,line,0
"A very good story line , held your interest , and kept you guessing the finish .",POS,good,story,0
"A very good story line , held your interest , and kept you guessing the finish .",POS,very,line,0
"A very good story line , held your interest , and kept you guessing the finish .",POS,very,story,0
A very instructive and comprehensive book about the endless fight against cancer .,POS,Comprehensive,book,0
A very instructive and comprehensive book about the endless fight against cancer .,POS,instructive,book,0
A very instructive and comprehensive book about the endless fight against cancer .,POS,very,book,0
a very interesting and informative book .,POS,informative,book,0
a very interesting and informative book .,POS,interesting,book,0
a very interesting and informative book .,POS,very,book,0
A very interesting book on the history of Cancer and Cancer medication .,POS,interesting,book,0
A very interesting book on the history of Cancer and Cancer medication .,POS,very,book,0
A very readable history and explanation of cancer .,POS,readable,,0
A very readable history and explanation of cancer .,POS,very,,0
A very vivid look into the foster system .,POS,very,,0
A very vivid look into the foster system .,POS,vivid,,0
"A wee bit much on the local colloquialisms at times which slows the reading down if you 're not familiar , but a good story just the same .",POS,Good,story,0
A well-nuanced and carefully delivered study that everyone will surely appreciate .,POS,appreciate,study,0
A well-nuanced and carefully delivered study that everyone will surely appreciate .,POS,carefully,study,0
A well-nuanced and carefully delivered study that everyone will surely appreciate .,POS,surely,study,0
A well-nuanced and carefully delivered study that everyone will surely appreciate .,POS,well-nuanced,study,0
A wholly new and unknown backstory and character set sweeps over Midkemia to conclude this 2 book saga and offers a full dose of the meaninglessness of existence.It 's rather like reading 400 pages about the life of ants in an anthill that ends with a bucket of gasoline poured on the nature story by a nasty unknown kid .,NEG,,,1
A wholly new and unknown backstory and character set sweeps over Midkemia to conclude this 2 book saga and offers a full dose of the meaninglessness of existence.It 's rather like reading 400 pages about the life of ants in an anthill that ends with a bucket of gasoline poured on the nature story by a nasty unknown kid .,NEG,meaninglessness,,0
A worthwhile read .,POS,worthwhile,read,0
"about cancer , presented rather slovenly .",NEG,rather,,0
"about cancer , presented rather slovenly .",NEG,slovenly,,0
Absolutely !,POS,absolutely,,0
Absolutely facinating and readable .,POS,absolutely,,0
Absolutely facinating and readable .,POS,facinating,,0
Absolutely facinating and readable .,POS,readable,,0
Absolutely the best book on the area and what went right and what went wrong .,POS,Absolutely,book,0
Absolutely the best book on the area and what went right and what went wrong .,POS,best,book,0
Absolutely the best book on the area and what went right and what went wrong .,POS,the,book,0
According to the other reviews this is not the best in the series and I can see why .,NEU,best,,0
According to the other reviews this is not the best in the series and I can see why .,NEU,not,,0
According to the other reviews this is not the best in the series and I can see why .,NEU,the,,0
"Actually due to this , I fail to see why he even bothered to create different chapters.Not having a deep knowledge of the various places where action takes place , it is very confusing to figure out just where things are heading , with the exception of some of the more well-known cities or regions of Egypt.The adventures of Knox are completely ridiculous and absurd , reading more like a comic book .",NEG,absurd,,0
"Actually due to this , I fail to see why he even bothered to create different chapters.Not having a deep knowledge of the various places where action takes place , it is very confusing to figure out just where things are heading , with the exception of some of the more well-known cities or regions of Egypt.The adventures of Knox are completely ridiculous and absurd , reading more like a comic book .",NEG,completely,,0
"Actually due to this , I fail to see why he even bothered to create different chapters.Not having a deep knowledge of the various places where action takes place , it is very confusing to figure out just where things are heading , with the exception of some of the more well-known cities or regions of Egypt.The adventures of Knox are completely ridiculous and absurd , reading more like a comic book .",NEG,Ridiculous,,0
"Adams balances the nitty gritty detail with just enough flair to keep you feeling engaged , not bored .",POS,,Adams,1
"Adams balances the nitty gritty detail with just enough flair to keep you feeling engaged , not bored .",POS,,,1
"Adams gives us enough history to whet our curiosity , but not so much that your eyes glaze over .",POS,,history,1
Adams has found himself a dedicated new fan !,POS,fan,Adams,0
"Adams missed the mark in making our main man , Daniel Knox , identifiable .",NEG,,Adams,1
"Adams missed the mark in making our main man , Daniel Knox , identifiable .",NEG,,Daniel,1
"Adams missed the mark in making our main man , Daniel Knox , identifiable .",NEG,,Knox,1
"Add in intrigue with regards to the Macedonian freedom movement , a whole slew of people from Knox 's past filling out the supporting roles , and a mystery that spans eons ( and has yet to be solved ) and you 've got the makings of a taught historical thriller.As mentioned above , I started this book as an audiobook ( but then finished it in print because I just could n't wait to see what happened ) , and the narrator does a spectacular job with all of the different voices and accents .",POS,,book,1
"Add in intrigue with regards to the Macedonian freedom movement , a whole slew of people from Knox 's past filling out the supporting roles , and a mystery that spans eons ( and has yet to be solved ) and you 've got the makings of a taught historical thriller.As mentioned above , I started this book as an audiobook ( but then finished it in print because I just could n't wait to see what happened ) , and the narrator does a spectacular job with all of the different voices and accents .",POS,spectacular,narrator,0
Add to it a lot of local color of modern urban Sweden and you have a good read .,POS,good,,0
Add to that a general lack of literacy and bizarre editing ( like a change of scene and characters happening in the middle of a paragraph without explanation . ),NEG,,editing,1
Add to that a general lack of literacy and bizarre editing ( like a change of scene and characters happening in the middle of a paragraph without explanation . ),NEG,bizarre,editing,0
"Adventure and a good writing voice await you , just don't get your hopes up at the outset when the story feels like an Angels and Demons coming on .",NEG,don't,outset,0
"Adventure and a good writing voice await you , just don't get your hopes up at the outset when the story feels like an Angels and Demons coming on .",NEG,get,outset,0
"Adventure and a good writing voice await you , just don't get your hopes up at the outset when the story feels like an Angels and Demons coming on .",NEG,hopes,outset,0
"Adventure and a good writing voice await you , just don't get your hopes up at the outset when the story feels like an Angels and Demons coming on .",NEG,up,outset,0
"Adventure and a good writing voice await you , just don't get your hopes up at the outset when the story feels like an Angels and Demons coming on .",NEG,your,outset,0
"Adventure and a good writing voice await you , just don't get your hopes up at the outset when the story feels like an Angels and Demons coming on .",POS,good,voice,0
"Adventure and a good writing voice await you , just don't get your hopes up at the outset when the story feels like an Angels and Demons coming on .",POS,good,writing,0
"After 100 pages , I still had none of my questions answered and I gave up on the book .",NEG,,book,1
"After a prologue , the main story starts out with an improbable rescue of a lady-in-distress , and at that point , I questioned whether I would finish the book .",NEU,,book,1
After all the buildup I felt let down .,NEG,,,1
"After finishing this book , I have changed my opinion of the first two books .",POS,,book,1
"After having actual video and photographic proof of what went on inside these camps , how could our government ( and the other world governments ) allow this woman to continue to lead ? The book is long , and repetitive , but still kept my attention .",POS,,book,1
"After having actual video and photographic proof of what went on inside these camps , how could our government ( and the other world governments ) allow this woman to continue to lead ? The book is long , and repetitive , but still kept my attention .",NEG,long,book,0
"After having actual video and photographic proof of what went on inside these camps , how could our government ( and the other world governments ) allow this woman to continue to lead ? The book is long , and repetitive , but still kept my attention .",NEG,repetitive,book,0
