sentence,aspect,sentiment,subjectivity
"apple is unmatched in product quality,aesthetics,craftmanship, and customer service.",product quality,positive,0
"apple is unmatched in product quality,aesthetics,craftmanship, and customer service.",aesthetics,positive,0
"apple is unmatched in product quality,aesthetics,craftmanship, and customer service.",craftmanship,positive,0
"apple is unmatched in product quality,aesthetics,craftmanship, and customer service.",customer service,positive,0
it is a great size and amazing windows 8 included!,size,positive,0
it is a great size and amazing windows 8 included!,windows 8,positive,0
also stunning colors and speedy,colors,positive,0
great price free shipping what else can i ask for!!,price,positive,0
great price free shipping what else can i ask for!!,shipping,positive,0
this mouse is terrific.,mouse,positive,0
and windows 7 works like a charm.,windows 7,positive,0
":) great product, great price, great delivery, and great service.",price,positive,0
":) great product, great price, great delivery, and great service.",delivery,positive,0
":) great product, great price, great delivery, and great service.",service,positive,0
:] it arrived so fast and customer service was great.,customer service,positive,0
set up was a breeze.,set up,positive,0
"i wanted it for it's mobility and man, this little bad boy is very nice.",mobility,positive,0
i found the mini to be:exceptionally easy to set up,set up,positive,0
having usb3 is why i bought this mini.,usb3,positive,0
the sound is nice and loud; i don't have any problems with hearing anything.,sound,positive,0
"it is very slim, the track pad is very much impressed with me.",track pad,positive,0
thank goodness for openoffice!,openoffice,positive,0
"awesome form factor, great battery life, wonderful ux.",form factor,positive,0
"awesome form factor, great battery life, wonderful ux.",battery life,positive,0
"awesome form factor, great battery life, wonderful ux.",ux,positive,0
i love the keyboard and the screen.,keyboard,positive,0
i love the keyboard and the screen.,screen,positive,0
i've already upgraded o mavericks and i am impressed with everything about this computer.,mavericks,positive,0
thanks for great service and shipping!,service,positive,0
thanks for great service and shipping!,shipping,positive,0
"the performance seems quite good, and built-in applications like iphoto work great with my phone and camera.",performance,positive,0
"the performance seems quite good, and built-in applications like iphoto work great with my phone and camera.",built-in applications,positive,0
"the performance seems quite good, and built-in applications like iphoto work great with my phone and camera.",iphoto,positive,0
i did swap out the hard drive for a samsung 830 ssd which i highly recommend.,samsung 830 ssd,positive,0
starts up in a hurry and everything is ready to go.,starts up,positive,0
quick and has built in virus control.,built in virus control,positive,0
it's so nice that the battery last so long and that this machine has the snow lion!,battery,positive,0
it's so nice that the battery last so long and that this machine has the snow lion!,snow lion,positive,0
"it's exactly what i wanted, and it has all the new features and whatnot.",features,positive,0
can you buy any laptop that matches the quality of a macbook?,quality,positive,0
it is very easy to navigate even for a novice.,navigate,positive,0
"does everything i need it to, has a wonderful battery life and i couldn't be happier.",battery life,positive,0
great performance and quality.,performance,positive,0
great performance and quality.,quality,positive,0
the new os is great on my macbook pro!,os,positive,0
"i have experienced no problems, works as anticipated.",works,positive,0
system is running great.,system,positive,0
easy to customize setting and even create your own bookmarks.,customize setting,positive,0
easy to customize setting and even create your own bookmarks.,create your own bookmarks,positive,0
"it has all the features that we expected and the price was good, working well so far.",features,positive,0
"it has all the features that we expected and the price was good, working well so far.",price,positive,0
"it has all the features that we expected and the price was good, working well so far.",working,positive,0
the new operating system makes this computer into a super ipad.,operating system,positive,0
easy to set up and go!,set up,positive,0
i can't believe how quiet the hard drive is and how quick this thing boots up.,hard drive,positive,0
i can't believe how quiet the hard drive is and how quick this thing boots up.,boots up,positive,0
it's just what we were looking for and it works great.,works,positive,0
it's so quick and responsive that it makes working/surfing on a computer so much more pleasurable!,working,positive,0
it's so quick and responsive that it makes working/surfing on a computer so much more pleasurable!,surfing,positive,0
"it works fine, and all the software seems to run pretty well.",works,positive,0
"it works fine, and all the software seems to run pretty well.",software,positive,0
"i use it mostly for content creation (audio, video, photo editing) and its reliable.",content creation,positive,0
"i use it mostly for content creation (audio, video, photo editing) and its reliable.",audio,positive,0
"i use it mostly for content creation (audio, video, photo editing) and its reliable.",video,positive,0
"i use it mostly for content creation (audio, video, photo editing) and its reliable.",photo editing,positive,0
screen is bright and gorgeous.,screen,positive,0
"it is robust, with a friendly use as all apple products.",use,positive,0
it is fast and easy to use.,use,positive,0
and the fact that it comes with an i5 processor definitely speeds things up,i5 processor,positive,0
i have been pc for years but this computer is intuitive and its built in features are a great help,built in features,positive,0
"nice screen, keyboard works great!",screen,positive,0
"nice screen, keyboard works great!",keyboard,positive,0
i was amazed at how fast the delivery was.,delivery,positive,0
it works great and i am so happy i bought it.,works,positive,0
"i like the design and ease of use with the keyboard, plenty of ports.",design,positive,0
"i like the design and ease of use with the keyboard, plenty of ports.",keyboard,positive,0
"i like the design and ease of use with the keyboard, plenty of ports.",ports,positive,0
it definitely beats my old mac and the service was great.,service,positive,0
web browsing is very quick with safari browser.,web browsing,positive,0
web browsing is very quick with safari browser.,safari browser,positive,0
i like the lighted screen at night.,lighted screen,positive,0
it is really easy to use and it is quick to start up.,use,positive,0
it is really easy to use and it is quick to start up.,start up,positive,0
usb3 peripherals are noticably less expensive than the thunderbolt ones.,usb3 peripherals,positive,0
and mine had broke but i sent it in under warranty-no problems.,warranty,positive,0
"it's fast, light, and is perfect for media editing, which is mostly why i bought it in the first place.",media editing,positive,0
"the battery lasts as advertised (give or take 15-20 minutes), and the entire user experience is very elegant.",battery,positive,0
"the battery lasts as advertised (give or take 15-20 minutes), and the entire user experience is very elegant.",user experience,positive,0
thanks for the fast shipment and great price.,shipment,positive,0
thanks for the fast shipment and great price.,price,positive,0
"!excelent performance, usability, presentation and time response.",performance,positive,0
"!excelent performance, usability, presentation and time response.",usability,positive,0
"!excelent performance, usability, presentation and time response.",presentation,positive,0
"!excelent performance, usability, presentation and time response.",time response,positive,0
the smaller size was a bonus because of space restrictions.,size,positive,0
i like the operating system.,operating system,positive,0
i love the form factor.,form factor,positive,0
it's fast at loading the internet.,loading the internet,positive,0
so much faster and sleeker looking.,looking,positive,0
"first off, i really do like my mbp... once used to the os it is pretty easy to get around, and the overall build is great... eg the keyboard is one of the best to type on.",os,positive,0
"first off, i really do like my mbp... once used to the os it is pretty easy to get around, and the overall build is great... eg the keyboard is one of the best to type on.",overall build,positive,0
"first off, i really do like my mbp... once used to the os it is pretty easy to get around, and the overall build is great... eg the keyboard is one of the best to type on.",keyboard,positive,0
it is made of such solid construction and since i have never had a mac using my iphone helped me get used to the system a bit.,construction,positive,0
very nice unibody construction.,unibody construction,positive,0
"this macbook pro is fast, powerful, and runs super quiet and cool.",runs,positive,0
it came in brand new and works perfectly.,works,positive,0
"it looks and feels solid, with a flawless finish.",finish,positive,0
"it looks and feels solid, with a flawless finish.",looks,positive,0
"it looks and feels solid, with a flawless finish.",feels,positive,0
price was higher when purchased on mac when compared to price showing on pc when i bought this product.,price,positive,0
the configuration is perfect for my needs.,configuration,positive,0
"its the best, its got the looks, super easy to use and love all you can do with the trackpad!..",looks,positive,0
"its the best, its got the looks, super easy to use and love all you can do with the trackpad!..",use,positive,0
"its the best, its got the looks, super easy to use and love all you can do with the trackpad!..",trackpad,positive,0
web surfuring is smooth and seamless.,web surfuring,positive,0
i'm overall pleased with the interface and the portability of this product.,interface,positive,0
i'm overall pleased with the interface and the portability of this product.,portability,positive,0
"this item is a beautiful piece, it works well, it is easy to carry and handle.",works,positive,0
"this item is a beautiful piece, it works well, it is easy to carry and handle.",carry,positive,0
"this item is a beautiful piece, it works well, it is easy to carry and handle.",handle,positive,0
"runs good and does the job, can't complain about that!",runs,positive,0
it's silent and has a very small footprint on my desk.,footprint,positive,0
the exterior is absolutely gorgeous.,exterior,positive,0
"it has a very high performance, just for what i needed for.",performance,positive,0
it wakes in less than a second when i open the lid.,wakes,positive,0
it is the perfect size and speed for me.,size,positive,0
it is the perfect size and speed for me.,speed,positive,0
the customer service is terrific!!,customer service,positive,0
"my last laptop was a 17"" asus gaming machine, which performed admirably, but having since built my own desktop and really settling into the college life, i found myself wanting something smaller and less cumbersome, not to mention that the asus had been slowly developing problems ever since i bought it about 4 years ago.",performed,positive,0
"however, it did not have any scratches, zero battery cycle count (pretty surprised), and all the hardware seemed to be working perfectly.",battery cycle count,positive,0
"however, it did not have any scratches, zero battery cycle count (pretty surprised), and all the hardware seemed to be working perfectly.",hardware,positive,0
i like coming back to mac os but this laptop is lacking in speaker quality compared to my $400  old hp laptop.,mac os,positive,0
shipped very quickly and safely.,shipped,positive,0
the thunderbolt port is awesome!,thunderbolt port,positive,0
the performance is definitely superior to any computer i've ever put my hands on.,performance,positive,0
it's great for streaming video and other entertainment uses.,streaming video,positive,0
it's great for streaming video and other entertainment uses.,entertainment uses,positive,0
i like the design and its features but there are somethings i think needs to be improved.,design,positive,0
i like the design and its features but there are somethings i think needs to be improved.,features,positive,0
"it still works and it's extremely user friendly, so i would recommend it for new computer user and also for those who are just looking for a more efficient way to do things",works,positive,0
"its fast, easy to use and it looks great.",use,positive,0
"its fast, easy to use and it looks great.",looks,positive,0
"performance is much much better on the pro, especially if you install an ssd on it.",performance,positive,0
"performance is much much better on the pro, especially if you install an ssd on it.",ssd,positive,0
"the mac mini is about 8x smaller than my old computer which is a huge bonus and runs very quiet, actually the fans aren't audible unlike my old pc",runs,positive,0
"the mac mini is about 8x smaller than my old computer which is a huge bonus and runs very quiet, actually the fans aren't audible unlike my old pc",fans,positive,0
it's absolutely wonderful and worth the price!,price,positive,0
i am please with the products ease of use; out of the box ready; appearance and functionality.,use,positive,0
i am please with the products ease of use; out of the box ready; appearance and functionality.,appearance,positive,0
i am please with the products ease of use; out of the box ready; appearance and functionality.,functionality,positive,0
perfect for all my graphic design classes i'm taking this year in college :-),graphic design,positive,0
"the os is fast and fluid, everything is organized and it's just beautiful.",os,positive,0
they are simpler to use.,use,positive,0
!so nice .. stable .. fast .. now i got my ssd !,ssd,positive,0
i love the quick start up.,start up,positive,0
you just cannot beat the functionality of an apple device.,functionality,positive,0
yet my mac continues to function properly.,function,positive,0
graphics are much improved.,graphics,positive,0
"here are the things that made me confident with my purchase:build quality - seriously, you can't beat a unibody construction.",build quality,positive,0
"here are the things that made me confident with my purchase:build quality - seriously, you can't beat a unibody construction.",unibody construction,positive,0
it provides much more flexibility for connectivity.,flexibility for connectivity,positive,0
"i want the portability of a tablet, without the limitations of a tablet and that's where this laptop comes into play.",portability,positive,0
mac tutorials do help.,mac tutorials,positive,0
"logic board utterly fried, cried, and laid down and died.",logic board,positive,0
osx lion is a great performer..extremely fast and reliable.,osx lion,positive,0
the macbook pro's physical form is wonderful.,physical form,positive,0
the mini's body hasn't changed since late 2010- and for a good reason.,body,positive,0
the unibody construction really does feel lot more solid than apple's previous laptops.,unibody construction,positive,0
"fast, great screen, beautiful apps for a laptop;priced at 1100 on the apple website;amazon had it for 1098+ tax -  plus i had a 10% off coupon from amazon-cost me 998 plus tax- 1070- otd!",screen,positive,0
"fast, great screen, beautiful apps for a laptop;priced at 1100 on the apple website;amazon had it for 1098+ tax -  plus i had a 10% off coupon from amazon-cost me 998 plus tax- 1070- otd!",apps,positive,0
"the like new condition of the imac mc309ll/a on amazon is at $900+ level only, and it is a quad-core 2.5 ghz cpu (similar to the $799 mini), with radeon hd 6750m 512mb graphic card (this mini is integrated intel 4000 card), and it even comes with wireless apple keyboard and mouse, all put together in neat and nice package.",package,positive,0
within a few hours i was using the gestures unconsciously.,gestures,positive,0
this mac does come with an extender cable and i'm using mine right now hoping the cable will stay nice for the many years i plan on using this mac.,cable,positive,0
the 2.9ghz dual-core i7 chip really out does itself.,2.9ghz dual-core i7 chip,positive,0
it is pretty snappy and starts up in about 30 seconds which is good enough for me.,starts up,positive,0
not too expense and has enough storage for most users and many ports.,storage,positive,0
not too expense and has enough storage for most users and many ports.,ports,positive,0
it is lightweight and the perfect size to carry to class.,size,positive,0
the mbp is beautiful has many wonderful capabilities.,capabilities,positive,0
runs very smoothly.,runs,positive,0
"it was important that it was powerful enough to do all of the tasks he needed on the internet, word processing, graphic design and gaming.",internet,positive,0
"it was important that it was powerful enough to do all of the tasks he needed on the internet, word processing, graphic design and gaming.",word processing,positive,0
"it was important that it was powerful enough to do all of the tasks he needed on the internet, word processing, graphic design and gaming.",graphic design,positive,0
"it was important that it was powerful enough to do all of the tasks he needed on the internet, word processing, graphic design and gaming.",gaming,positive,0
"i like the mini mac it was easy to setup and install, but i am learning as i go and could use a tutorial to learn how to use some of the features i was use to on the pc especially the right mouse click menu.",setup,positive,0
"i like the mini mac it was easy to setup and install, but i am learning as i go and could use a tutorial to learn how to use some of the features i was use to on the pc especially the right mouse click menu.",install,positive,0
runs real quick.,runs,positive,0
buy the separate ram memory and you will have a rocket!,ram memory,positive,0
"wifi capability, disk drive and multiple usb ports to connect scale and printers was all that was required.",disk drive,positive,0
"wifi capability, disk drive and multiple usb ports to connect scale and printers was all that was required.",usb ports,positive,0
"wifi capability, disk drive and multiple usb ports to connect scale and printers was all that was required.",wifi capability,positive,0
"soft touch, anodized aluminum with laser cut precision and no flaws.",touch,positive,0
"soft touch, anodized aluminum with laser cut precision and no flaws.",anodized aluminum,positive,0
"simple details, crafted aluminium and real glass make this laptop blow away the other plastic ridden, bulky sticker filled laptops.",aluminium,positive,0
"simple details, crafted aluminium and real glass make this laptop blow away the other plastic ridden, bulky sticker filled laptops.",glass,positive,0
first of all yes this is a mac and it has that nice brushed aluminum .,aluminum,positive,0
"the dell inspiron is fast and has a number pad on the keyboard, which i miss on my apple laptops.",number pad on the keyboard,positive,0
i was concerned that the downgrade to the regular hard drive would make it unacceptably slow but i need not have worried - this machine is the fastest i have ever owned...,regular hard drive,positive,0
plus two finger clicking as a replacement for the right click button is surprisingly intuitive.,two finger clicking,positive,0
the superdrive is quiet.,superdrive,positive,0
if yo like practicality this is the laptop for you.,practicality,positive,0
the os is great.,os,positive,0
easy to install also small to leave anywhere at your bedroom also very easy to configure for adsl cable or wifi.,install,positive,0
easy to install also small to leave anywhere at your bedroom also very easy to configure for adsl cable or wifi.,configure for adsl cable or wifi,positive,0
nice packing.,packing,positive,0
"i switched to this because i wanted something different, even though i miss windows.",windows,positive,0
"i also wanted windows 7, which this one has.",windows 7,positive,0
it just works out of the box and you have a lot of cool software included with the os.,works,positive,0
it just works out of the box and you have a lot of cool software included with the os.,software,positive,0
its as advertised on here..... it works great and is not a waste of money!,works,positive,0
runs like a champ.....,runs,positive,0
premium price for the os more than anything else.,price,positive,0
"i was a little concerned about the touch pad based on reviews, but i've found it fine to work with.",touch pad,positive,0
"however, the experience was great since the os does not become unstable and the application will simply shutdown and reopen.",os,positive,0
"however, the experience was great since the os does not become unstable and the application will simply shutdown and reopen.",application,positive,0
shipping was quick and product described was the product sent and so much more...,shipping,positive,0
the retina display display make pictures i took years ago jaw dropping.,retina display display,positive,0
the mac mini is probably the simplest example of compact computing out there.,compact computing,positive,0
now that i have upgraded to lion i am much happier about mac os and have just bought an imac for office.,lion,positive,0
now that i have upgraded to lion i am much happier about mac os and have just bought an imac for office.,mac os,positive,0
user upgradeable ram and hdd.,ram,positive,0
user upgradeable ram and hdd.,hdd,positive,0
but i wanted the pro for the cd/dvd player.,cd/dvd player,positive,0
i was a little worry at first because i don't have a lot of experience with os.x and windows has always been second nature to me after many years of using windows.,windows,positive,0
"i was considering buying the air, but in reality, this one has a more powerful performance and seems much more convenient, even though it's about .20 inch thicker and 2 lbs heavier.",performance,positive,0
i got this at an amazing price from amazon and it arrived just in time.,price,positive,0
"put a ssd and use a 21"" led screen, this set up is silky smooth!",set up,positive,0
"i had to buy a wireless mouse to go with it, as i am old school and hate the pad, but knew that before i bought it, now it works great, need to get adjusted to the key board, as i am used to a bigger one and pounding.",works,positive,0
"has all the other features i wanted including a vga port, hdmi, ethernet and 3 usb ports.",features,positive,0
the nicest  part is the low heat output and ultra quiet operation.,heat output,positive,0
the nicest  part is the low heat output and ultra quiet operation.,operation,positive,0
i will upgrade the ram myself (because with this model you can you can do it) later on.,upgrade the ram,positive,0
the price is 200 dollars down.,price,positive,0
wasn't sure if i was going to like it much less love it so i went to a local best buy and played around with the ios system on a mac pro and it was totally unique and different.,ios system,positive,0
air has higher resolution but the fonts are small.,resolution,positive,0
"working with mac is so much easier, so many cool features.",working,positive,0
"working with mac is so much easier, so many cool features.",features,positive,0
i like the brightness and adjustments.,brightness,positive,0
i like the brightness and adjustments.,adjustments,positive,0
it has enough memory and speed to run my business with all the flexibility that comes with a laptop.,memory,positive,0
it has enough memory and speed to run my business with all the flexibility that comes with a laptop.,speed,positive,0
it has enough memory and speed to run my business with all the flexibility that comes with a laptop.,flexibility,positive,0
"the speed, the simplicity, the design.. it is lightyears ahead of any pc i have ever owned.",speed,positive,0
"the speed, the simplicity, the design.. it is lightyears ahead of any pc i have ever owned.",simplicity,positive,0
"the speed, the simplicity, the design.. it is lightyears ahead of any pc i have ever owned.",design,positive,0
"the battery life is excellent, the display is excellent, and downloading apps is a  breeze.",battery life,positive,0
"the battery life is excellent, the display is excellent, and downloading apps is a  breeze.",display,positive,0
"the battery life is excellent, the display is excellent, and downloading apps is a  breeze.",downloading apps,positive,0
"the screen, the software and the smoothness of the operating system.",screen,positive,0
"the screen, the software and the smoothness of the operating system.",software,positive,0
"the screen, the software and the smoothness of the operating system.",operating system,positive,0
"the built quality is really good, i was so happy and excited about this product.",built quality,positive,0
i am loving the fast performance also.,performance,positive,0
"this by far beats any computer out on the market today built well, battery life amazing.",built,positive,0
"this by far beats any computer out on the market today built well, battery life amazing.",battery life,positive,0
"the os is easy, and offers all kinds of surprises.",os,positive,0
a veryimportant feature is firewire 800 which in my experience works better then usb3 (in pc enabled with usb3)i was not originally sold on the mac os i felt it was inferior in many ways to windows 7.,firewire 800,positive,0
a veryimportant feature is firewire 800 which in my experience works better then usb3 (in pc enabled with usb3)i was not originally sold on the mac os i felt it was inferior in many ways to windows 7.,windows 7,positive,0
"i like itunes, the apparent security, the mini form factor, all the nice graphics stuff.",itunes,positive,0
"i like itunes, the apparent security, the mini form factor, all the nice graphics stuff.",security,positive,0
"i like itunes, the apparent security, the mini form factor, all the nice graphics stuff.",mini form factor,positive,0
"i like itunes, the apparent security, the mini form factor, all the nice graphics stuff.",graphics stuff,positive,0
"after replacing the spinning hard disk with an ssd drive, my mac is just flying.",ssd drive,positive,0
packing and everything was perfect,packing,positive,0
it also comes with 4g of ram but if you're like me you want to max that out so i immediately put 8g of ram in her and i've never used a computer that performs better.,performs,positive,0
this computer is also awesome for my sons virtual home schooling.,virtual home schooling,positive,0
also...- excellent operating system- size and weight for optimal mobility- excellent durability of the battery- the functions provided by the trackpad is unmatched by any other brand-,operating system,positive,0
also...- excellent operating system- size and weight for optimal mobility- excellent durability of the battery- the functions provided by the trackpad is unmatched by any other brand-,size,positive,0
also...- excellent operating system- size and weight for optimal mobility- excellent durability of the battery- the functions provided by the trackpad is unmatched by any other brand-,weight,positive,0
also...- excellent operating system- size and weight for optimal mobility- excellent durability of the battery- the functions provided by the trackpad is unmatched by any other brand-,mobility,positive,0
also...- excellent operating system- size and weight for optimal mobility- excellent durability of the battery- the functions provided by the trackpad is unmatched by any other brand-,durability of the battery,positive,0
also...- excellent operating system- size and weight for optimal mobility- excellent durability of the battery- the functions provided by the trackpad is unmatched by any other brand-,functions provided by the trackpad,positive,0
this hardware seems to be better than the imac in that it isn't $1400 and smaller.,hardware,positive,0
screen - although some people might complain about low res which i think is ridiculous.,screen,positive,0
screen - although some people might complain about low res which i think is ridiculous.,res,positive,0
no installation disk (dvd) is included.,installation disk (dvd),neutral,1
the mountain lion os is not hard to figure out if you are familiar with microsoft windows.,microsoft windows,neutral,1
"it's been time for a new laptop, and the only debate was which size of the mac laptops, and whether to spring for the retina display.",size,neutral,1
"it's been time for a new laptop, and the only debate was which size of the mac laptops, and whether to spring for the retina display.",retina display,neutral,1
apple removed the dvd drive firewire port (will work with adapter) and put the sdxc slot in a silly position on the back.,dvd drive firewire port,neutral,1
apple removed the dvd drive firewire port (will work with adapter) and put the sdxc slot in a silly position on the back.,adapter,neutral,1
it is really thick around the battery.,battery,neutral,1
i am still in the process of learning about its features.,features,neutral,1
i did swap out the hard drive for a samsung 830 ssd which i highly recommend.,hard drive,neutral,1
took a long time trying to decide between one with retina display and one without.,retina display,neutral,1
"i used windows xp, windows vista, and windows 7 extensively.",windows xp,neutral,1
"i used windows xp, windows vista, and windows 7 extensively.",windows vista,neutral,1
"i used windows xp, windows vista, and windows 7 extensively.",windows 7,neutral,1
i did add a ssd drive and memory,ssd drive,neutral,1
i did add a ssd drive and memory,memory,neutral,1
i have been a pc user for a very long time now but i will get used to this new os.,os,neutral,1
i bought it to my son who uses it for graphic design.,graphic design,neutral,1
i never tried any external mics with that imac.,external mics,neutral,1
"the mac mini, wireless keyboard / mouse and a hdmi cable is all i need to get some real work done.",wireless keyboard / mouse,neutral,1
"the mac mini, wireless keyboard / mouse and a hdmi cable is all i need to get some real work done.",hdmi cable,neutral,1
"i work as a designer and coder and i needed a new buddy to work with, not gaming.",gaming,neutral,1
i think this is about as good as it gets at anything close to this price point.,price point,neutral,1
"i'm using this computer for word processing, web browsing, some gaming, and i'm learning programming.",word processing,neutral,1
"i'm using this computer for word processing, web browsing, some gaming, and i'm learning programming.",web browsing,neutral,1
"i'm using this computer for word processing, web browsing, some gaming, and i'm learning programming.",gaming,neutral,1
"i'm using this computer for word processing, web browsing, some gaming, and i'm learning programming.",programming,neutral,1
"i wanted a computer that was quite, fast, and that had overall great performance.",performance,neutral,1
"the only solution is to turn the brightness down, etc.",brightness,neutral,1
if you want more information on macs i suggest going to apple.com and heading towards the macbook page for more information on the applications.,applications,neutral,1
i've installed to it additional ssd and 16gb ram.,ssd,neutral,1
i've installed to it additional ssd and 16gb ram.,16gb ram,neutral,1
"in fact i still use manylegacy programs (appleworks, filemaker pro, quicken, photoshop etc)!",legacy programs,neutral,1
"in fact i still use manylegacy programs (appleworks, filemaker pro, quicken, photoshop etc)!",appleworks,neutral,1
"in fact i still use manylegacy programs (appleworks, filemaker pro, quicken, photoshop etc)!",filemaker pro,neutral,1
"in fact i still use manylegacy programs (appleworks, filemaker pro, quicken, photoshop etc)!",quicken,neutral,1
"in fact i still use manylegacy programs (appleworks, filemaker pro, quicken, photoshop etc)!",photoshop,neutral,1
"unfortunately, it runs xp and microsoft is dropping support next april.",xp,neutral,1
it is made of such solid construction and since i have never had a mac using my iphone helped me get used to the system a bit.,system,neutral,1
it's ok but doesn't have a disk drive which i didn't know until after i bought it.,disk drive,neutral,1
"there is no hdmi receptacle, nor is there an sd card slot located anywhere on the device.",hdmi receptacle,neutral,1
"there is no hdmi receptacle, nor is there an sd card slot located anywhere on the device.",sd card slot,neutral,1
"it shouldn't happen like that, i don't have any design app open or anything.",design app,neutral,1
apple is aware of this issue and this is either old stock or a defective design involving the intel 4000 graphics chipset.,intel 4000 graphics chipset,neutral,1
apple is aware of this issue and this is either old stock or a defective design involving the intel 4000 graphics chipset.,design,neutral,1
osx mountain lion  soon to upgrade to mavericks.,osx mountain lion,neutral,1
osx mountain lion  soon to upgrade to mavericks.,mavericks,neutral,1
it wakes in less than a second when i open the lid.,lid,neutral,1
and as for all the fancy finger swipes -- i just gave up and attached a mouse.,mouse,neutral,1
"i needed a laptop with big storage, a nice screen and fast so i can photoshop without any problem.",storage,neutral,1
"i needed a laptop with big storage, a nice screen and fast so i can photoshop without any problem.",screen,neutral,1
"i needed a laptop with big storage, a nice screen and fast so i can photoshop without any problem.",photoshop,neutral,1
i understand i should call apple tech support about any variables(which is my purpose of writing this con) as variables could be a bigger future problem.,apple tech support,neutral,1
(but office can be purchased) if i ever need a laptop again i am for sure purchasing another toshiba!!,office,neutral,1
i haven't tried the one with retina display... maybe in the future.,retina display,neutral,1
