sentence,aspect,sentiment,subjectivity
"had a lovely dinner in this dedicated seafood joint, food was well-prepared and -presented and the service was pleasant and prompt.",food,positive,0
"speedy delivers, great food, decent prices, and friendly service combine to ensure an enjoyable repast.",food,positive,0
the food--though mostly deep-fried--is simple and satisfying.,food,positive,0
"glechik might be way too tiny for a restaurant by russian standards, but it is cozy and the food is simply great.",food,positive,0
the food was excellent - authentic italian cuisine made absolutely fresh.,food,positive,0
"the other times i've gone it's romantic date heaven, you can walk in get a booth by the windows, be treated like a vip in a not-crowded place, with great food and service.",food,positive,0
the staff is 100% italian and the food is as authentic as it gets.,food,positive,0
the negative reviews on city search are probably from jealous competing restaurants who realize they can't compete with temple's entire positive attitude about the proper way to treat their customers and deliver top quality food.,food,positive,0
food is excellent quality for a good restaurant price.,food,positive,0
"good service, great food, good value, and never have to wait in line!",food,positive,0
"not only is the food authentic, but the staff here are practically off-the-boat, they are young and hip and know what they are doing when it comes to food and wine.",food,positive,0
"not only is the food authentic, but the staff here are practically off-the-boat, they are young and hip and know what they are doing when it comes to food and wine.",food,positive,0
"the food is great, i love their dumplings, cold sesame noodles, chicken and shrimp dishs.",food,positive,0
"and the food, well the food will keep you coming back.",food,positive,0
"and the food, well the food will keep you coming back.",food,positive,0
you can eat gourmet food at a fast food price.,food,positive,0
"i've eaten at all three locations and i always love, love the food, the service is always wonderful and the prices are really reasonable.",food,positive,0
"not because i was pregnant, but the food here is always delicious.",food,positive,0
we had a birthday party here recently and the food and service was amazing.,food,positive,0
food is excellent and they also have empenadas and plaintains which are good for an afternoon snack.,food,positive,0
"great restaurant, and even greater food!",food,positive,0
"i love the simplicity and respect which was given to the food, as well the staff was freindly and knowledgable.",food,positive,0
"the food was good, the service prompt, and the price very reasonable.",food,positive,0
"wonderful menu, warm inviting ambiance, great service the food keeps me coming back!",food,positive,0
"great food, good wine and an excellent host.",food,positive,0
the food was good overall.,food,positive,0
the food was outstanding and the service was tops.,food,positive,0
"our waiter was helpful and charming, the food was perfect, and the wine was good, too.",food,positive,0
"we had tons of great food, wine, and desserts.",food,positive,0
"this place is classy, chic, the service is warm and hospitable, and the food is outstanding.",food,positive,0
"although small, it has beautiful ambience, excellent food (the catfish is delicious - if ya don't mind it a lil salty) and attentive service.",food,positive,0
"his food is excellent (and not expensive by nyc standards- no entrees over $30, most appetizers $12 to 14).",food,positive,0
the food is consistant and good but how it got name best diner in manhattan is beyond me.,food,positive,0
had dinner here on a friday and the food was great.,food,positive,0
satay is one of those favorite haunts on washington where the service and food is always on the money.,food,positive,0
it' only open for lunch but the food is so good!,food,positive,0
the bread is top notch as well.,bread,positive,0
i have to say they have one of the fastest delivery times in the city.,delivery times,positive,0
did i mention that the coffee is outstanding?,coffee,positive,0
"certainly not the best sushi in new york, however, it is always fresh, and the place is very clean, sterile.",place,positive,0
"i trust the people at go sushi, it never disappoints.",people,positive,0
"straight-forward, no surprises, very decent japanese food.",japanese food,positive,0
"best spicy tuna roll, great asian salad.",asian salad,positive,0
"best spicy tuna roll, great asian salad.",spicy tuna roll,positive,0
try the rose roll (not on menu).,rose roll,positive,0
"i love the drinks, esp lychee martini, and the food is also very good.",drinks,positive,0
"i love the drinks, esp lychee martini, and the food is also very good.",lychee martini,positive,0
"while there's a decent menu, it shouldn't take ten minutes to get your drinks and 45 for a dessert pizza.",menu,positive,0
"once we sailed, the top-notch food and live entertainment sold us on a unforgettable evening.",live entertainment,positive,0
anytime and everytime i find myself in the neighborhood i will go to sushi rose for fresh sushi and great portions all at a reasonable price.,sushi,positive,0
anytime and everytime i find myself in the neighborhood i will go to sushi rose for fresh sushi and great portions all at a reasonable price.,portions,positive,0
anytime and everytime i find myself in the neighborhood i will go to sushi rose for fresh sushi and great portions all at a reasonable price.,price,positive,0
"from the beginning, we were met by friendly staff memebers, and the convienent parking at chelsea piers made it easy for us to get to the boat.",staff memebers,positive,0
"from the beginning, we were met by friendly staff memebers, and the convienent parking at chelsea piers made it easy for us to get to the boat.",parking,positive,0
we enjoyed ourselves thoroughly and will be going back for the desserts ....,desserts,positive,0
desserts are almost incredible: my personal favorite is their tart of the day.,desserts,positive,0
desserts are almost incredible: my personal favorite is their tart of the day.,tart of the day,positive,0
"the food was extremely tasty, creatively presented and the wine excellent.",wine,positive,0
the lasagna was probably the best i have tasted.,lasagna,positive,0
harumi sushi has the freshest and most delicious array of sushi in nyc.,array of sushi,positive,0
"i highly recommend it for not just its superb cuisine, but also for its friendly owners and staff.",cuisine,positive,0
"i highly recommend it for not just its superb cuisine, but also for its friendly owners and staff.",owners,positive,0
"i highly recommend it for not just its superb cuisine, but also for its friendly owners and staff.",staff,positive,0
"if you're craving some serious indian food and desire a cozy ambiance, this is quite and exquisite choice.",indian food,positive,0
"if you're craving some serious indian food and desire a cozy ambiance, this is quite and exquisite choice.",ambiance,positive,0
"it was pleasantly uncrowded, the service was delightful, the garden adorable, the food (from appetizers to entrees) was delectable.",service,positive,0
"it was pleasantly uncrowded, the service was delightful, the garden adorable, the food (from appetizers to entrees) was delectable.",garden,positive,0
"it was pleasantly uncrowded, the service was delightful, the garden adorable, the food (from appetizers to entrees) was delectable.",appetizers,positive,0
"it was pleasantly uncrowded, the service was delightful, the garden adorable, the food (from appetizers to entrees) was delectable.",entrees,positive,0
"the food is surprisingly good, and the decor is nice.",decor,positive,0
i think the meatball parm is good.,meatball parm,positive,0
"if you want good tasting, well seasoned latin food eat at cabana and you can't go wrong.",latin food,positive,0
definitely try the taglierini with truffles - it was incredible.,taglierini with truffles,positive,0
"also, the staff is very attentive and really personable.",staff,positive,0
the gnocchi literally melts in your mouth!,gnocchi,positive,0
had a great experience at trio ... staff was pleasant; food was tasty and large in portion size - i would highly recommend the portobello/gorgonzola/sausage appetizer and the lobster risotto.,staff,positive,0
had a great experience at trio ... staff was pleasant; food was tasty and large in portion size - i would highly recommend the portobello/gorgonzola/sausage appetizer and the lobster risotto.,portion size,positive,0
had a great experience at trio ... staff was pleasant; food was tasty and large in portion size - i would highly recommend the portobello/gorgonzola/sausage appetizer and the lobster risotto.,portobello/gorgonzola/sausage appetizer,positive,0
had a great experience at trio ... staff was pleasant; food was tasty and large in portion size - i would highly recommend the portobello/gorgonzola/sausage appetizer and the lobster risotto.,lobster risotto,positive,0
"the food is good, the teriyaki i recommend.",teriyaki,positive,0
try the peanut butter sorbet and the pizza with soy cheese!,peanut butter sorbet,positive,0
try the peanut butter sorbet and the pizza with soy cheese!,pizza with soy cheese,positive,0
"good food at the right price, what more can you ask for.",price,positive,0
"the food is top notch, the service is attentive, and the atmosphere is great.",service,positive,0
"the food is top notch, the service is attentive, and the atmosphere is great.",atmosphere,positive,0
"great food, great waitstaff, great atmosphere, and best of all great beer!",waitstaff,positive,0
"great food, great waitstaff, great atmosphere, and best of all great beer!",atmosphere,positive,0
"great food, great waitstaff, great atmosphere, and best of all great beer!",beer,positive,0
this is still one of my most favorite restaurants in the area the food is inexpensive but very good (kimono shrimp special was excellent) and has a great atmosphere.,kimono shrimp special,positive,0
this is still one of my most favorite restaurants in the area the food is inexpensive but very good (kimono shrimp special was excellent) and has a great atmosphere.,atmosphere,positive,0
the menu is interesting and quite reasonably priced.,menu,positive,0
the menu is interesting and quite reasonably priced.,priced,positive,0
the food was delicious and clearly fresh ingredients were used.,ingredients,positive,0
appetizer are excellent here; you can make a great (and inexpensive) meal out of them.,appetizer,positive,0
appetizer are excellent here; you can make a great (and inexpensive) meal out of them.,meal,positive,0
the spicy mussels are a highlight.,spicy mussels,positive,0
also get the onion rings -- best we've ever had.,onion rings,positive,0
"huge portions, great and attentive service, and pretty good prices.",portions,positive,0
"huge portions, great and attentive service, and pretty good prices.",service,positive,0
"huge portions, great and attentive service, and pretty good prices.",prices,positive,0
the food is great and the milkshakes are even better!,milkshakes,positive,0
the mushroom barley soup is amazing.,mushroom barley soup,positive,0
"i'm glad i did as the food was very good and the staff was friendly, courteous and efficient.",staff,positive,0
their duck here is also absolutely delicious.,duck,positive,0
"while it was large and a bit noisy, the drinks were fantastic, and the food was superb.",drinks,positive,0
i was pleasently surprised at the taste.,taste,positive,0
"a nice space, as long as it doesn't get too crowded and a singleminded devotion to its chosen cuisine make mare a great choice for seafood lovers.",seafood,positive,0
"a nice space, as long as it doesn't get too crowded and a singleminded devotion to its chosen cuisine make mare a great choice for seafood lovers.",cuisine,positive,0
"they really provide a relaxing, laid-back atmosphere.",atmosphere,positive,0
the ambience is also more laid-back and relaxed.,ambience,positive,0
the teas are great and all the sweets are homemade.,teas,positive,0
the teas are great and all the sweets are homemade.,sweets,positive,0
mojitos and the service are the best part in there,mojitos,positive,0
mojitos and the service are the best part in there,service,positive,0
"sandwiches, burgers and salads, like the lemon-dressed cobb, are classic successes.",sandwiches,positive,0
"sandwiches, burgers and salads, like the lemon-dressed cobb, are classic successes.",burgers,positive,0
"sandwiches, burgers and salads, like the lemon-dressed cobb, are classic successes.",salads,positive,0
"sandwiches, burgers and salads, like the lemon-dressed cobb, are classic successes.",lemon-dressed cobb,positive,0
the design is very intimate and romantic.,design,positive,0
the staff is very sharp and they look good too.,staff,positive,0
stay with the roasted chickens and you'll be fine.,roasted chickens,positive,0
"the atmosphere is warm, comfortable, artsy and sexy.",atmosphere,positive,0
"the food is great (big selection, reasonable prices) and the drinks are really good.",selection,positive,0
"the food is great (big selection, reasonable prices) and the drinks are really good.",prices,positive,0
"the food is great (big selection, reasonable prices) and the drinks are really good.",drinks,positive,0
the steak melted in my mouth.,steak,positive,0
"the food did take a few extra minutes to come, but the cute waiters' jokes and friendliness made up for it.",waiters,positive,0
"most importantly, it is reasonably priced.",priced,positive,0
"the selection of food is excellent (i'm not used to having much choice at restaurants), and the atmosphere is great.",selection of food,positive,0
"the selection of food is excellent (i'm not used to having much choice at restaurants), and the atmosphere is great.",atmosphere,positive,0
it is a hidden delight complete with a quaint bar and good food.,bar,positive,0
"the atmosphere is very nice, and a welcome escape from the rest of the si mall.",atmosphere,positive,0
"i can say that the wraps, burgers and salads were all fresh, tasty and the mango margareta at $9 was well worth the money.",wraps,positive,0
"i can say that the wraps, burgers and salads were all fresh, tasty and the mango margareta at $9 was well worth the money.",burgers,positive,0
"i can say that the wraps, burgers and salads were all fresh, tasty and the mango margareta at $9 was well worth the money.",salads,positive,0
"i can say that the wraps, burgers and salads were all fresh, tasty and the mango margareta at $9 was well worth the money.",mango margareta,positive,0
"anywhere else, the prices would be 3x as high!",prices,positive,0
the service we experienced was friendly and good.,service,positive,0
our waiter was friendly and it is a shame that he didnt have a supportive staff to work with.,waiter,positive,0
service was among the best i have ever had in nyc.,service,positive,0
the fettucino alfredo was amazing.,fettucino alfredo,positive,0
the food was very good and i was pleasantly surprised to see so many vegan options.,vegan options,positive,0
"be sure to try the smoked trout...lamb chops, veal chops, rabbit, the potato gratin, on and on and on...",smoked trout,positive,0
"be sure to try the smoked trout...lamb chops, veal chops, rabbit, the potato gratin, on and on and on...",lamb chops,positive,0
"be sure to try the smoked trout...lamb chops, veal chops, rabbit, the potato gratin, on and on and on...",veal chops,positive,0
"be sure to try the smoked trout...lamb chops, veal chops, rabbit, the potato gratin, on and on and on...",rabbit,positive,0
"be sure to try the smoked trout...lamb chops, veal chops, rabbit, the potato gratin, on and on and on...",potato gratin,positive,0
"even when the chef is not in the house, the food and service are right on target.",service,positive,0
everything from the eggs benedict to the mussels and even the hamburger were done well and very tasty.,eggs benedict,positive,0
everything from the eggs benedict to the mussels and even the hamburger were done well and very tasty.,mussels,positive,0
everything from the eggs benedict to the mussels and even the hamburger were done well and very tasty.,hamburger,positive,0
"the waiters were very professional, courteous and attentive.",waiters,positive,0
the falafal was rather over cooked and dried but the chicken was fine.,chicken,positive,0
"i highly reccomend the grand marnier shrimp, it's insanely good.",grand marnier shrimp,positive,0
"we been there and we really enjoy the food, was areally great food, and the service was really good.",service,positive,0
"the service is great, my soup always arrives nice and hot.",service,positive,0
"the service is great, my soup always arrives nice and hot.",soup,positive,0
it had been awhile and i forgot just how delicious crepes can be.,crepes,positive,0
montparnasse's desserts--especially the silken creme brulee and paper-thin apple tart--are good enough on their own to make the restaurant worth the trip.,desserts,positive,0
montparnasse's desserts--especially the silken creme brulee and paper-thin apple tart--are good enough on their own to make the restaurant worth the trip.,creme brulee,positive,0
montparnasse's desserts--especially the silken creme brulee and paper-thin apple tart--are good enough on their own to make the restaurant worth the trip.,apple tart,positive,0
i had a delicious shrimp creole.,shrimp creole,positive,0
the chicken dinner was real good.,chicken dinner,positive,0
"try the ribs, sizzling beef and couple it with coconut rice.",coconut rice,positive,0
"try the ribs, sizzling beef and couple it with coconut rice.",ribs,positive,0
"try the ribs, sizzling beef and couple it with coconut rice.",beef,positive,0
the avocado salad is a personal fave.,avocado salad,positive,0
"and, the honey bbq rib tips are yummy!",honey bbq rib tips,positive,0
the best chinese food uptown!,chinese food,positive,0
service is known for bending over backwards to make everyone happy.,service,positive,0
the staff is very friendly.,staff,positive,0
waiters are very friendly and the pasta is out of this world.,waiters,positive,0
waiters are very friendly and the pasta is out of this world.,pasta,positive,0
great wine list and great cocktail menu.,wine list,positive,0
great wine list and great cocktail menu.,cocktail menu,positive,0
the crab cakes are delicious and the bbq rib was perfect.,crab cakes,positive,0
the crab cakes are delicious and the bbq rib was perfect.,bbq rib,positive,0
tiny restaurant with very fast service.,service,positive,0
my husband and i have been there at least 6 times and we've always been given the highest service and often free desserts.,service,positive,0
my husband and i have been there at least 6 times and we've always been given the highest service and often free desserts.,desserts,positive,0
"a beautiful atmosphere, perfect for drinks and/or appetizers.",atmosphere,positive,0
they make the best pizza in new jersey.,pizza,positive,0
"what a difference, the service was very comforting and the food was better than average, but what really standed out was such a dynamic and extensive beer list.",service,positive,0
"what a difference, the service was very comforting and the food was better than average, but what really standed out was such a dynamic and extensive beer list.",beer list,positive,0
"not to be overlooked, the service is excellent.",service,positive,0
"the staff is unbelievably friendly, and i dream about their saag gosht...so good.",staff,positive,0
"the staff is unbelievably friendly, and i dream about their saag gosht...so good.",saag gosht,positive,0
i also recommend the garlic knots.,garlic knots,positive,0
best indian food i have ever eaten.,indian food,positive,0
this place has the best pizza.,pizza,positive,0
the service is excellent and always informative without an air.,service,positive,0
the owner and staff go to great lengths to make you feel comfortable.,owner,positive,0
the owner and staff go to great lengths to make you feel comfortable.,staff,positive,0
the sushi is always fresh and yummy and the menu is pretty varied.,sushi,positive,0
the sushi is always fresh and yummy and the menu is pretty varied.,menu,positive,0
"the food was great - sushi was good, but the cooked food amazed us.",sushi,positive,0
"the food was great - sushi was good, but the cooked food amazed us.",cooked food,positive,0
their dinner specials are fantastic.,dinner specials,positive,0
"great food, great drinks, nice dining atmosphere.",drinks,positive,0
"great food, great drinks, nice dining atmosphere.",dining atmosphere,positive,0
sit back in one of those comfortable chairs.,chairs,positive,0
my favs here are the tacos pastor and the tostada de tinga...,tacos pastor,positive,0
my favs here are the tacos pastor and the tostada de tinga...,tostada de tinga,positive,0
"the bartenders and the managers are really nice and the decor is very comfy and laid-back, all the while being trendy.",bartenders,positive,0
"the bartenders and the managers are really nice and the decor is very comfy and laid-back, all the while being trendy.",managers,positive,0
"the bartenders and the managers are really nice and the decor is very comfy and laid-back, all the while being trendy.",decor,positive,0
"for a savory take on the soup and sandwich meal, try the hot and sour soup.",hot and sour soup,positive,0
"for a savory take on the soup and sandwich meal, try the hot and sour soup.",soup and sandwich meal,positive,0
"this bar has it all - great drinks, cool atmosphere, excellent service and delicious food.",drinks,positive,0
"this bar has it all - great drinks, cool atmosphere, excellent service and delicious food.",atmosphere,positive,0
"this bar has it all - great drinks, cool atmosphere, excellent service and delicious food.",service,positive,0
"also, the chick peas with shrimp (appetizer) is divine.",chick peas with shrimp (appetizer),positive,0
we ordered lamb which was perfectly cooked and tasted awesome.,lamb,positive,0
i especially like their soft shell crab sandwich with fries.,soft shell crab sandwich with fries,positive,0
"if you're looking for authentic hong kong-style food, look no further.",hong kong-style food,positive,0
good food good wine that's it.,wine,positive,0
the staff was extremely friendly and pleasant.,staff,positive,0
"while their kitchen food is delicious, their sushi is out of this world.",kitchen food,positive,0
"while their kitchen food is delicious, their sushi is out of this world.",sushi,positive,0
"everything is scrumptious, from the excellent service by cute waitresses, to the extremely lush atmosphere.",service,positive,0
"everything is scrumptious, from the excellent service by cute waitresses, to the extremely lush atmosphere.",waitresses,positive,0
"everything is scrumptious, from the excellent service by cute waitresses, to the extremely lush atmosphere.",atmosphere,positive,0
"it's traditional, simple italian food.",italian food,positive,0
"the food is all-around good, with the rolls usually excellent and the sushi/sashimi not quite on the same level.",rolls,positive,0
"in addition to great hot dogs, dotp has wonderful breakfast sandwiches that feature, in addition to great things like tator tots and english muffins, a delicious nj-based pork product know to us jersey girls and boys as taylor ham.",hot dogs,positive,0
"in addition to great hot dogs, dotp has wonderful breakfast sandwiches that feature, in addition to great things like tator tots and english muffins, a delicious nj-based pork product know to us jersey girls and boys as taylor ham.",breakfast sandwiches,positive,0
"in addition to great hot dogs, dotp has wonderful breakfast sandwiches that feature, in addition to great things like tator tots and english muffins, a delicious nj-based pork product know to us jersey girls and boys as taylor ham.",tator tots,positive,0
"in addition to great hot dogs, dotp has wonderful breakfast sandwiches that feature, in addition to great things like tator tots and english muffins, a delicious nj-based pork product know to us jersey girls and boys as taylor ham.",english muffins,positive,0
"in addition to great hot dogs, dotp has wonderful breakfast sandwiches that feature, in addition to great things like tator tots and english muffins, a delicious nj-based pork product know to us jersey girls and boys as taylor ham.",taylor ham,positive,0
"in addition to great hot dogs, dotp has wonderful breakfast sandwiches that feature, in addition to great things like tator tots and english muffins, a delicious nj-based pork product know to us jersey girls and boys as taylor ham.",pork product,positive,0
"not only is the service great, but forming conversation around a table is so easy beacuse the atmosphere can be both romantic and comfortable.",service,positive,0
"not only is the service great, but forming conversation around a table is so easy beacuse the atmosphere can be both romantic and comfortable.",atmosphere,positive,0
be sure to accompany your food with one of their fresh juice concoctions.,fresh juice concoctions,positive,0
the food is great and the prices are reasonable.,prices,positive,0
"the place is clean, and if you like soul food, then this is the place to be!",place,positive,0
"the place is clean, and if you like soul food, then this is the place to be!",soul food,positive,0
they have a very good chicken with avocado and good tuna as well.,chicken with avocado,positive,0
they have a very good chicken with avocado and good tuna as well.,tuna,positive,0
malted milk ball gelato - have you ever in your life heard of anything so ridiculously wonderful?,malted milk ball gelato,positive,0
dessert was also to die for!,dessert,positive,0
"btw, the service is very good .",service,positive,0
it is a cozy place to go with a couple of friends.,place,positive,0
"the service is always great, and the owner walks around to make sure you enjoy.",service,positive,0
"the service is always great, and the owner walks around to make sure you enjoy.",owner,positive,0
dieters stick to salads or indulge in vegetarian platters.,salads,positive,0
dieters stick to salads or indulge in vegetarian platters.,vegetarian platters,positive,0
so for a filling and healthy meal give it a go.,meal,positive,0
the service was outstanding.,service,positive,0
we always enjoy the pizza.,pizza,positive,0
the service is pretty good.,service,positive,0
"yum, the chicken is great here.",chicken,positive,0
the host (owner) and servers are personable and caring.,host (owner),positive,0
the host (owner) and servers are personable and caring.,servers,positive,0
"it's just everything...the food, the atmosphere...the incrediby kind and gracious hostess.",atmosphere,positive,0
"it's just everything...the food, the atmosphere...the incrediby kind and gracious hostess.",hostess,positive,0
the food is very good and the service is great.,service,positive,0
"this place has the best indian food in new york, hands down.",indian food,positive,0
the waiters are very friendly and helpful and if you frequent they will remember you.,waiters,positive,0
intimate but charming interior with extremely friendly and attentive service.,interior,positive,0
intimate but charming interior with extremely friendly and attentive service.,service,positive,0
the food was as creative as the decor and both worked.,decor,positive,0
"the menu is great, with a good selection, and everything that i have tried is absolutely delicious.",menu,positive,0
"the menu is great, with a good selection, and everything that i have tried is absolutely delicious.",selection,positive,0
the sauce is zesty and flavorful and the crust is nice and crispy.,sauce,positive,0
the sauce is zesty and flavorful and the crust is nice and crispy.,crust,positive,0
this place has the best sushi in the city.,sushi,positive,0
they have an excellent selection (the rolls with crab are really great).,selection,positive,0
they have an excellent selection (the rolls with crab are really great).,rolls with crab,positive,0
"everyone who works there (the host, the bartender, the servers) is so helpful.",host,positive,0
"everyone who works there (the host, the bartender, the servers) is so helpful.",bartender,positive,0
"everyone who works there (the host, the bartender, the servers) is so helpful.",servers,positive,0
favourites include: potato spinach gnocchi and the lamb.,potato spinach gnocchi,positive,0
favourites include: potato spinach gnocchi and the lamb.,lamb,positive,0
but regulars know that the sandwiches are the real star here.,sandwiches,positive,0
the skillfully chosen portuguese cheese cart paired with quality port provides the perfect iberian ending.,port,positive,0
the skillfully chosen portuguese cheese cart paired with quality port provides the perfect iberian ending.,portuguese cheese cart,positive,0
my friend had a burger and i had these wonderful blueberry pancakes.,blueberry pancakes,positive,0
we were so happy with our food and were even more thrilled when we saw the bill.,bill,positive,0
"all toppings are so fresh you'd think they had their own vegetable garden and the crust is so perfect, that one actually thinks of how it was made.",toppings,positive,0
"all toppings are so fresh you'd think they had their own vegetable garden and the crust is so perfect, that one actually thinks of how it was made.",crust,positive,0
we've always gotten amazing service and we love the food.,service,positive,0
"the waitstaff is solicitous and friendly and always seems glad to see us, and the food is wonderful, if not stunningly creative.",waitstaff,positive,0
i'm in love with the lobster ravioli!,lobster ravioli,positive,0
we came across this restaurant by accident while at a dumbo art festival and thoroughly enjoyed our meal.,meal,positive,0
"service is excellent, no wait, and you get a lot for the price.",service,positive,0
"service is excellent, no wait, and you get a lot for the price.",price,positive,0
"service is excellent, no wait, and you get a lot for the price.",wait,positive,0
coffee is a better deal than overpriced cosi sandwiches.,coffee,positive,0
") it's not the best japanese restaurant in the east village, but it's a pretty solid one for its modest prices, and worth repeat visits.",prices,positive,0
first walking in the place seemed to have great ambience.,place,positive,0
first walking in the place seemed to have great ambience.,ambience,positive,0
the service is perfect too  nothing wrong in this italian/french restaurant,service,positive,0
"the service is really fast and friendly, and the value is great.",service,positive,0
"the service is really fast and friendly, and the value is great.",value,positive,0
we were very impressed with the food and value.,value,positive,0
you must try the garlic soup!,garlic soup,positive,0
"casablanca servces delicious falafel, tabouleh, humus and other mediterranean delights, which are all very inexpensive.",falafel,positive,0
"casablanca servces delicious falafel, tabouleh, humus and other mediterranean delights, which are all very inexpensive.",tabouleh,positive,0
"casablanca servces delicious falafel, tabouleh, humus and other mediterranean delights, which are all very inexpensive.",humus,positive,0
"casablanca servces delicious falafel, tabouleh, humus and other mediterranean delights, which are all very inexpensive.",mediterranean delights,positive,0
"the pizza's are made fresh, crispy, and ready to serve.",pizza's,positive,0
staff is accomodating make sure you are satified.,staff,positive,0
chef waldy's always measures up.,chef,positive,0
reasonably priced with very fresh sushi.,sushi,positive,0
reasonably priced with very fresh sushi.,priced,positive,0
go for the seafood paella for two.,seafood paella for two,positive,0
all of the apetizers are good and the sangria is very good.,apetizers,positive,0
all of the apetizers are good and the sangria is very good.,sangria,positive,0
"the one positive thing i can say is that the service was prompt, we got seated right away and the server was very friendly.",service,positive,0
"the one positive thing i can say is that the service was prompt, we got seated right away and the server was very friendly.",server,positive,0
the staff greeted me warmly at the door and i was seated promptly and the food was excellent.,staff,positive,0
service is usually pretty good.,service,positive,0
"the wait staff is very friendly, if your not rude or picky.......our meal at leon last weekend was great -.",wait staff,positive,0
"the wait staff is very friendly, if your not rude or picky.......our meal at leon last weekend was great -.",meal,positive,0
i recommend any of their salmon dishes......,salmon dishes,positive,0
the foie gras was sweet and luscious.,foie gras,positive,0
but their mac cheese was yummy!,mac cheese,positive,0
their brunch menu had something for everyone.,brunch menu,positive,0
jazz singer had a nice voice + she made us all get up to dance to shake some cals to eat some more.,jazz singer,positive,0
they have very quick service which is great when you don't have much time.,service,positive,0
the service is prompt friendly.,service,positive,0
the downstairs bar scene is very cool and chill...,downstairs bar scene,positive,0
if you are a tequila fan you will not be disappointed.,tequila,positive,0
"great beer selection too, something like 50 beers.",beer selection,positive,0
"i found the food to be just as good as its owner, da silvano, just much less expensive.",owner,positive,0
they have homemade pastas of all kinds -- i recommend the gnocchi -- yum!,homemade pastas,positive,0
